itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1724,3.066,1.056,14.073,2.205,1.12,9.495,60.078,4.627,530.987,2.473,1.036,1.677,0.688,21.527,1.53,6.454,5.092,3.368,1.471,1.018,5.991,3.312,2.286,1.916,1.02
1725,2.816,0.888,8.169,2.211,1.069,5.573,80.192,5.999,517.879,2.43,0.966,1.578,0.611,35.568,1.815,4.69,6.671,3.614,1.338,0.864,4.56,3.303,2.399,1.79,0.935
1726,2.578,0.802,4.808,2.158,1.09,3.524,99.74,7.853,507.492,2.318,0.86,1.475,0.564,50.696,2.306,3.474,8.233,3.709,1.254,0.721,3.409,3.214,2.4,1.758,0.833
1727,2.318,0.756,3.08,2.09,1.151,2.503,112.756,9.582,480.038,2.129,0.738,1.351,0.544,62.867,2.836,2.501,9.424,3.577,1.223,0.607,2.42,3.133,2.269,1.785,0.713
1728,2.036,0.753,2.295,2.057,1.243,1.968,115.186,10.574,446.67,1.915,0.629,1.243,0.548,68.472,3.201,1.718,10.018,3.303,1.24,0.53,1.818,3.121,2.062,1.875,0.601
1729,1.821,0.812,3.453,2.085,1.357,2.136,107.729,10.469,423.983,1.775,0.566,1.185,0.573,65.936,3.274,1.038,9.975,3.031,1.279,0.491,1.645,3.217,1.869,2.013,0.525
1730,1.664,1.02,8.377,2.111,1.534,3.598,94.046,9.507,416.32,1.8,0.579,1.182,0.613,56.604,3.09,0.642,9.403,2.901,1.348,0.489,1.858,3.348,1.794,2.208,0.508
1731,1.552,1.583,18.628,2.121,1.944,6.857,80.351,8.362,441.213,2.27,0.689,1.443,0.675,43.937,2.811,0.384,8.491,3.111,1.558,0.538,2.267,3.44,2.111,2.613,0.563
1732,1.546,2.682,33.257,2.226,2.76,11.714,72.225,7.754,428.327,3.599,0.889,2.406,0.782,31.782,2.631,0.293,7.529,3.96,2.049,0.653,2.65,3.575,3.23,3.418,0.696
1733,1.83,4.311,51.633,2.652,3.999,18.604,70.481,8.148,441.534,6.238,1.145,4.682,0.951,23.177,2.657,0.724,6.915,5.885,2.862,0.838,2.634,4.066,5.683,4.674,0.901
1734,4.657,6.567,68.349,5.883,5.7,26.606,72.416,9.435,429.367,11.348,1.457,9.394,1.204,18.938,2.845,2.92,8.735,10.065,4.121,1.107,4.359,7.869,10.68,6.398,1.199
1735,16.468,11.522,106.817,19.822,8.825,59.249,74.473,10.956,356.414,23.914,2.063,19.25,1.651,17.892,3.032,22.191,20.315,19.693,6.425,1.546,29.707,25.468,20.934,8.817,1.695
1736,45.447,23.556,192.357,55.025,15.273,145.178,72.384,11.867,303.916,50.802,3.548,36.958,2.514,18.091,3.034,77.84,52.382,38.013,10.834,2.31,111.063,72.406,39.143,12.384,2.571
1737,93.919,45.938,362.147,115.351,26.312,326.492,65.459,11.617,220.198,95.976,6.422,63.605,3.995,18.043,2.759,200.254,110.161,66.45,18.074,3.584,305.129,156.438,66.365,17.276,3.953
1738,155.937,77.544,592.521,192.781,41.155,580.46,53.898,10.193,183.537,154.568,10.761,95.4,6.231,16.879,2.25,366.2,187.842,101.619,28.289,5.586,586.714,268.746,98.471,23.152,5.931
