itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
257,0.983,0.716,1.385,1.576,1.429,1.593,3.776,3.365,15.37,0.631,1.334,1.282,1.057,2.35,3.718,2.21,0.878,0.933,0.59,1.455,2.046,2.053,1.364,0.74,1.287
258,1.024,0.651,1.267,1.436,1.386,1.816,4.155,3.172,15.271,0.81,1.258,1.537,1.161,1.817,3.264,2.741,0.841,1.217,0.676,1.514,2.218,2.069,1.574,0.743,1.355
259,1.049,0.612,1.374,1.255,1.309,2.13,4.373,2.848,14.219,1.074,1.148,1.788,1.274,1.475,2.734,3.13,0.853,1.573,0.75,1.58,2.502,1.983,1.834,0.759,1.439
260,1.086,0.609,1.706,1.132,1.226,2.591,4.349,2.533,12.252,1.391,1.028,2.039,1.377,1.432,2.23,3.33,0.952,1.921,0.793,1.637,2.775,1.802,2.058,0.774,1.534
261,1.221,0.638,2.251,1.174,1.168,3.252,4.108,2.352,9.901,1.705,0.919,2.291,1.453,1.713,1.829,3.39,1.142,2.173,0.793,1.663,2.965,1.571,2.172,0.783,1.628
262,1.518,0.682,2.976,1.429,1.15,4.159,3.851,2.33,7.935,1.955,0.831,2.539,1.486,2.276,1.559,3.412,1.38,2.258,0.754,1.642,3.027,1.34,2.142,0.792,1.692
263,1.966,0.725,3.817,1.848,1.166,5.445,3.809,2.397,6.827,2.094,0.769,2.753,1.466,3.078,1.396,3.491,1.59,2.151,0.691,1.566,3.077,1.165,1.985,0.797,1.704
264,2.441,0.761,4.628,2.3,1.195,7.074,4.135,2.432,6.382,2.106,0.737,2.88,1.401,4.028,1.302,3.636,1.712,1.882,0.623,1.451,3.27,1.072,1.737,0.796,1.653
265,2.764,0.786,5.197,2.622,1.215,8.793,4.781,2.346,6.49,2.014,0.74,2.88,1.312,4.992,1.253,3.784,1.729,1.533,0.572,1.328,3.671,1.067,1.453,0.785,1.553
266,2.808,0.804,5.446,2.712,1.219,10.284,5.517,2.142,6.982,1.882,0.779,2.77,1.231,5.825,1.244,3.84,1.665,1.208,0.546,1.231,4.203,1.129,1.195,0.768,1.43
267,2.544,0.818,5.486,2.558,1.219,11.245,6.043,1.904,7.726,1.776,0.841,2.596,1.185,6.359,1.284,3.759,1.569,0.983,0.55,1.187,4.696,1.227,1.009,0.751,1.318
268,2.071,0.833,5.505,2.225,1.224,11.394,6.192,1.749,8.575,1.729,0.908,2.415,1.192,6.533,1.381,3.552,1.47,0.888,0.577,1.21,4.909,1.328,0.922,0.747,1.245
269,1.523,0.846,5.601,1.803,1.235,10.663,6.027,1.77,9.64,1.729,0.96,2.251,1.259,6.301,1.539,3.249,1.349,0.892,0.613,1.293,4.716,1.39,0.932,0.766,1.228
270,1.043,0.848,5.768,1.399,1.25,9.247,5.816,1.999,11.231,1.725,0.986,2.091,1.371,5.697,1.741,2.947,1.199,0.93,0.638,1.403,4.121,1.384,1.018,0.818,1.262
271,0.724,0.831,5.885,1.1,1.269,7.562,5.842,2.399,13.55,1.666,0.995,1.914,1.502,4.823,1.955,2.753,1.026,0.929,0.639,1.5,3.323,1.309,1.133,0.901,1.323
272,0.599,0.798,5.849,0.942,1.28,6.04,6.135,2.889,16.113,1.517,0.999,1.693,1.617,3.838,2.14,2.729,0.861,0.857,0.61,1.561,2.482,1.207,1.232,0.995,1.38
273,0.629,0.762,5.594,0.905,1.267,4.98,6.492,3.387,18.19,1.274,1.007,1.407,1.707,2.907,2.257,2.863,0.788,0.716,0.558,1.583,1.782,1.143,1.323,1.068,1.409
274,0.772,0.741,5.205,0.965,1.225,4.443,6.655,3.833,18.888,0.979,1.016,1.085,1.782,2.179,2.268,3.109,0.928,0.549,0.505,1.575,1.341,1.164,1.454,1.1,1.394
275,1.012,0.753,4.842,1.1,1.169,4.38,6.563,4.144,17.854,0.697,1.014,0.804,1.848,1.74,2.164,3.406,1.335,0.421,0.473,1.547,1.195,1.265,1.674,1.092,1.342
276,1.315,0.794,4.705,1.266,1.112,4.755,6.237,4.269,15.464,0.472,0.979,0.624,1.894,1.644,1.969,3.697,1.944,0.394,0.48,1.506,1.376,1.385,1.983,1.065,1.266
277,1.606,0.84,4.847,1.417,1.064,5.627,5.803,4.236,13.044,0.338,0.902,0.59,1.897,1.915,1.747,3.887,2.6,0.514,0.527,1.454,1.818,1.449,2.331,1.045,1.187
278,1.813,0.861,5.123,1.555,1.027,6.976,5.371,4.127,11.762,0.319,0.794,0.718,1.832,2.557,1.57,3.902,3.142,0.774,0.604,1.394,2.445,1.418,2.649,1.048,1.124
279,1.88,0.84,5.303,1.696,0.997,8.541,5.044,4.016,12.32,0.41,0.68,0.982,1.693,3.487,1.492,3.711,3.471,1.111,0.695,1.325,3.046,1.303,2.868,1.069,1.084
