itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
994,4.673,1.057,20.48,3.957,0.812,12.837,1.163,0.825,1.668,3.191,0.644,2.588,0.583,1.5,0.974,2.265,2.332,0.584,0.3,0.248,4.214,2.474,4.507,1.85,1.846
995,4.792,1.205,10.049,4.341,0.9,7.223,1.132,0.866,1.537,3.23,0.573,2.705,0.528,1.687,1.032,2.211,2.158,0.708,0.336,0.251,4.187,2.53,4.539,1.748,1.729
996,5.249,1.325,6.487,4.962,0.942,5.193,1.106,0.904,1.468,3.284,0.498,2.792,0.448,1.864,1.066,2.349,2.016,0.896,0.384,0.253,3.913,2.609,4.777,1.683,1.598
997,5.483,1.371,5.767,5.496,0.921,4.643,1.106,0.939,1.496,3.214,0.427,2.755,0.365,1.987,1.056,2.633,1.891,1.116,0.429,0.253,3.582,2.658,5.24,1.641,1.516
998,5.38,1.325,5.554,5.787,0.84,4.467,1.141,0.981,1.558,2.95,0.369,2.574,0.301,2.024,1.005,2.901,1.775,1.316,0.459,0.249,3.361,2.61,5.832,1.621,1.516
999,5.529,1.205,7.501,6.096,0.727,5.689,1.18,1.048,1.633,2.63,0.329,2.367,0.269,1.976,0.937,3.084,1.666,1.444,0.47,0.243,3.328,2.452,6.329,1.625,1.588
1000,6.757,1.054,15.449,6.935,0.623,10.469,1.199,1.154,1.738,2.461,0.306,2.263,0.268,1.887,0.879,3.054,1.599,1.478,0.465,0.236,3.403,2.246,6.496,1.654,1.679
1001,9.693,0.92,30.986,8.852,0.564,19.485,1.178,1.294,1.909,2.567,0.298,2.324,0.283,1.806,0.845,2.822,1.625,1.43,0.458,0.233,3.391,2.09,6.222,1.689,1.73
1002,14.165,0.835,52.651,11.927,0.563,31.695,1.108,1.441,2.161,2.937,0.302,2.532,0.3,1.751,0.834,2.435,1.75,1.374,0.459,0.236,3.156,2.062,5.531,1.696,1.712
1003,19.064,0.804,74.505,15.545,0.607,43.635,1.001,1.552,2.447,3.43,0.312,2.797,0.309,1.713,0.839,2.022,1.927,1.396,0.474,0.247,2.652,2.199,4.563,1.655,1.643
1004,22.786,0.809,89.453,18.589,0.662,51.395,0.893,1.597,2.677,3.843,0.324,3.0,0.307,1.674,0.865,1.736,2.083,1.542,0.501,0.266,2.012,2.474,3.552,1.574,1.568
1005,23.922,0.823,92.225,19.906,0.701,52.31,0.824,1.578,2.762,4.003,0.336,3.052,0.297,1.633,0.929,1.612,2.154,1.783,0.536,0.293,1.375,2.815,2.753,1.493,1.53
1006,21.954,0.823,81.655,18.871,0.707,45.904,0.813,1.533,2.618,3.839,0.342,2.918,0.282,1.611,1.046,1.726,2.097,2.032,0.57,0.322,0.921,3.127,2.356,1.469,1.55
1007,17.423,0.795,61.811,15.649,0.675,34.714,0.835,1.497,2.294,3.396,0.335,2.615,0.266,1.638,1.209,1.884,1.91,2.187,0.596,0.35,0.701,3.378,2.42,1.534,1.61
1008,11.759,0.738,38.9,11.205,0.611,22.037,0.856,1.484,1.858,2.787,0.314,2.195,0.251,1.716,1.391,2.077,1.635,2.182,0.609,0.37,0.739,3.574,2.875,1.665,1.672
1009,6.618,0.671,20.078,6.857,0.533,11.867,0.841,1.486,1.473,2.161,0.283,1.736,0.239,1.793,1.555,2.124,1.327,2.008,0.609,0.381,0.925,3.699,3.53,1.81,1.694
1010,3.176,0.632,8.489,3.679,0.469,5.7,0.79,1.496,1.189,1.646,0.251,1.316,0.232,1.79,1.669,2.055,1.04,1.718,0.603,0.382,1.223,3.722,4.155,1.924,1.657
1011,1.627,0.663,3.946,2.002,0.439,3.362,0.721,1.529,1.03,1.298,0.229,1.0,0.23,1.682,1.711,1.882,0.792,1.392,0.592,0.373,1.575,3.631,4.585,1.994,1.581
1012,1.515,0.791,3.731,1.585,0.457,3.355,0.671,1.618,0.971,1.162,0.229,0.883,0.236,1.503,1.685,1.627,0.638,1.119,0.575,0.36,1.886,3.463,4.771,2.042,1.504
1013,2.236,1.011,6.215,1.969,0.525,5.25,0.666,1.783,0.949,1.278,0.253,1.029,0.249,1.319,1.622,1.407,0.671,0.937,0.553,0.347,2.145,3.272,4.703,2.104,1.462
1014,3.399,1.265,11.15,2.826,0.627,9.418,0.71,2.003,0.938,1.656,0.295,1.447,0.265,1.19,1.561,1.198,0.968,0.831,0.524,0.337,2.21,3.106,4.419,2.207,1.467
1015,4.907,1.478,18.68,4.091,0.743,16.133,0.78,2.227,0.892,2.23,0.346,2.051,0.282,1.139,1.532,1.069,1.512,0.763,0.491,0.336,2.187,2.97,3.962,2.357,1.5
1016,6.751,1.589,27.515,5.741,0.855,24.065,0.847,2.393,0.824,2.884,0.395,2.69,0.304,1.149,1.543,1.01,2.159,0.709,0.463,0.346,1.966,2.829,3.395,2.542,1.534
1017,8.838,1.564,36.166,7.633,0.94,31.725,0.881,2.454,0.732,3.473,0.439,3.21,0.332,1.176,1.578,1.014,2.699,0.676,0.446,0.37,1.732,2.635,2.787,2.741,1.54
1018,10.945,1.432,42.241,9.476,0.994,36.871,0.873,2.403,0.626,3.888,0.481,3.5,0.37,1.176,1.607,1.094,2.983,0.687,0.447,0.402,1.424,2.358,2.232,2.935,1.516
1019,12.612,1.262,43.999,10.829,1.027,37.997,0.842,2.269,0.509,4.049,0.525,3.489,0.417,1.139,1.596,1.252,3.003,0.76,0.469,0.431,1.198,2.027,1.824,3.099,1.471
1020,13.692,1.13,41.945,11.545,1.058,35.381,0.821,2.098,0.412,3.94,0.571,3.18,0.463,1.085,1.524,1.523,2.871,0.885,0.505,0.446,1.064,1.728,1.631,3.208,1.429
1021,14.524,1.087,40.17,11.916,1.105,31.927,0.829,1.932,0.386,3.724,0.613,2.751,0.499,1.05,1.391,1.861,2.736,1.02,0.544,0.444,1.133,1.587,1.645,3.241,1.411
1022,15.7,1.135,43.383,12.484,1.164,31.112,0.874,1.794,0.439,3.554,0.637,2.378,0.513,1.063,1.224,2.225,2.704,1.119,0.571,0.429,1.36,1.701,1.791,3.205,1.425
1023,17.531,1.227,54.139,13.584,1.215,35.033,0.932,1.685,0.546,3.491,0.637,2.165,0.5,1.14,1.071,2.499,2.764,1.136,0.577,0.411,1.71,2.052,1.957,3.129,1.461
1024,19.725,1.302,70.432,15.059,1.229,42.857,0.966,1.6,0.659,3.492,0.61,2.109,0.464,1.28,0.971,2.612,2.826,1.06,0.568,0.4,2.078,2.484,2.055,3.033,1.498
1025,21.441,1.311,86.96,16.292,1.183,51.586,0.935,1.528,0.775,3.462,0.563,2.131,0.416,1.455,0.935,2.503,2.77,0.915,0.554,0.397,2.39,2.794,2.076,2.916,1.524
1026,21.817,1.251,97.665,16.595,1.083,57.609,0.827,1.456,1.029,3.345,0.51,2.154,0.37,1.625,0.952,2.266,2.562,0.751,0.542,0.395,2.663,2.847,2.059,2.755,1.532
1027,20.347,1.151,98.038,15.542,0.962,58.316,0.676,1.358,1.514,3.152,0.46,2.165,0.334,1.733,0.994,2.007,2.281,0.632,0.534,0.384,2.876,2.621,2.05,2.533,1.527
