itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
519,2.248,0.436,3.239,2.464,0.795,2.038,0.872,1.697,14.089,1.323,0.69,1.26,0.797,1.0,2.765,1.752,1.822,1.616,0.678,0.787,1.18,1.26,0.94,0.715,0.967
520,2.927,0.444,5.569,2.439,0.652,2.12,0.911,1.911,15.607,1.44,0.597,1.355,0.773,0.999,2.632,2.3,1.801,1.561,0.64,0.771,1.15,1.245,0.904,0.672,0.951
521,4.301,0.473,12.483,2.362,0.583,4.208,0.96,2.35,16.93,1.708,0.522,1.463,0.747,1.141,2.489,2.685,1.663,1.415,0.607,0.726,1.115,1.135,0.862,0.622,0.916
522,6.444,0.502,22.853,2.334,0.588,6.459,1.007,2.802,19.154,2.101,0.48,1.576,0.722,1.399,2.353,3.622,1.431,1.202,0.58,0.662,1.213,0.984,0.809,0.59,0.869
523,8.985,0.526,37.212,2.385,0.653,10.804,1.022,3.055,21.038,2.527,0.477,1.677,0.699,1.698,2.244,4.295,1.172,1.002,0.561,0.6,1.451,0.872,0.771,0.596,0.823
524,11.234,0.551,49.451,2.479,0.76,14.025,1.004,3.038,22.769,2.872,0.513,1.74,0.683,1.97,2.169,4.659,0.934,0.877,0.559,0.558,1.942,0.85,0.791,0.647,0.791
525,12.38,0.596,57.634,2.492,0.898,16.872,0.956,2.829,24.281,3.005,0.583,1.732,0.677,2.155,2.119,4.753,0.769,0.861,0.581,0.55,2.597,0.925,0.912,0.736,0.789
526,11.935,0.678,57.351,2.347,1.046,17.322,0.899,2.572,25.116,2.922,0.674,1.669,0.683,2.261,2.088,4.4,0.688,0.933,0.622,0.581,3.306,1.058,1.135,0.843,0.827
527,9.992,0.789,49.805,2.023,1.176,16.019,0.823,2.376,25.329,2.655,0.767,1.559,0.698,2.333,2.081,4.22,0.668,1.034,0.667,0.647,3.827,1.166,1.398,0.939,0.902
528,7.18,0.91,37.042,1.592,1.257,13.114,0.748,2.262,24.527,2.32,0.846,1.437,0.718,2.412,2.109,4.005,0.687,1.09,0.703,0.741,4.005,1.214,1.625,1.0,1.0
529,4.352,1.013,23.186,1.184,1.272,9.546,0.689,2.19,22.965,2.01,0.899,1.328,0.739,2.499,2.182,3.895,0.757,1.072,0.732,0.851,3.76,1.26,1.754,1.02,1.1
530,2.241,1.083,12.502,0.934,1.22,6.508,0.646,2.104,21.275,1.806,0.921,1.263,0.754,2.547,2.296,3.862,0.906,0.988,0.774,0.96,3.178,1.408,1.764,1.011,1.18
531,1.188,1.115,6.164,0.89,1.115,4.1,0.617,1.974,19.196,1.713,0.908,1.251,0.754,2.495,2.437,3.542,1.123,0.853,0.839,1.049,2.468,1.734,1.673,0.983,1.219
532,1.193,1.12,5.276,1.073,0.987,3.228,0.633,1.835,17.555,1.688,0.862,1.264,0.74,2.311,2.585,3.136,1.358,0.696,0.913,1.097,1.867,2.186,1.521,0.934,1.204
533,2.149,1.108,9.372,1.474,0.878,3.223,0.669,1.771,15.812,1.67,0.794,1.257,0.732,1.999,2.71,2.622,1.591,0.548,0.978,1.103,1.576,2.65,1.351,0.866,1.14
534,3.936,1.092,19.264,2.148,0.833,5.595,0.716,1.835,14.543,1.624,0.725,1.226,0.759,1.639,2.783,2.001,1.849,0.443,1.018,1.079,1.515,2.991,1.201,0.796,1.05
535,6.22,1.077,33.352,2.983,0.871,8.861,0.743,2.022,13.53,1.547,0.672,1.193,0.841,1.313,2.786,1.927,2.166,0.413,1.034,1.045,1.718,3.108,1.086,0.745,0.961
536,8.424,1.063,47.567,3.829,0.977,12.49,0.735,2.281,12.785,1.447,0.643,1.235,0.976,1.083,2.727,1.908,2.547,0.461,1.031,1.01,1.831,2.976,1.007,0.733,0.898
537,9.871,1.045,59.08,4.447,1.104,15.987,0.659,2.543,12.03,1.303,0.632,1.344,1.135,0.949,2.64,2.151,2.921,0.566,1.02,0.976,1.915,2.663,0.956,0.768,0.874
538,10.243,1.012,59.954,4.682,1.191,15.659,0.579,2.764,11.202,1.162,0.625,1.535,1.284,0.895,2.559,2.259,3.17,0.681,1.005,0.934,1.828,2.268,0.916,0.836,0.887
539,9.664,0.956,54.584,4.479,1.188,14.822,0.562,2.922,10.569,1.055,0.615,1.741,1.406,0.888,2.506,2.054,3.194,0.763,0.983,0.881,1.59,1.867,0.867,0.904,0.934
540,9.002,0.871,46.67,4.049,1.08,12.922,0.61,3.005,10.697,1.012,0.599,1.901,1.502,0.901,2.492,1.897,2.957,0.782,0.939,0.822,1.328,1.493,0.801,0.929,1.002
541,9.158,0.765,45.642,3.676,0.899,13.658,0.746,2.998,12.559,1.033,0.581,1.954,1.589,0.906,2.528,1.806,2.503,0.741,0.871,0.774,1.04,1.148,0.755,0.899,1.086
542,10.523,0.654,57.871,3.596,0.705,19.066,0.949,2.906,16.26,1.102,0.568,1.88,1.681,0.871,2.638,1.475,1.97,0.671,0.801,0.76,0.888,0.833,0.787,0.83,1.185
543,12.659,0.551,79.48,3.821,0.557,27.077,1.136,2.782,22.153,1.162,0.569,1.716,1.777,0.782,2.837,2.1,1.518,0.606,0.759,0.793,1.02,0.574,0.923,0.763,1.29
544,14.513,0.468,100.752,4.165,0.491,35.103,1.285,2.678,28.385,1.172,0.585,1.502,1.845,0.663,3.117,2.45,1.243,0.595,0.765,0.869,1.214,0.4,1.141,0.744,1.38
545,14.942,0.413,115.333,4.296,0.507,41.196,1.412,2.611,33.565,1.134,0.615,1.321,1.851,0.56,3.433,3.814,1.132,0.657,0.809,0.971,1.78,0.317,1.373,0.789,1.446
546,13.42,0.385,107.278,3.999,0.573,38.628,1.542,2.599,36.844,1.07,0.654,1.189,1.778,0.54,3.723,4.843,1.109,0.797,0.858,1.074,2.265,0.307,1.548,0.88,1.485
547,10.523,0.379,89.462,3.367,0.647,33.752,1.731,2.662,37.011,1.019,0.696,1.132,1.637,0.641,3.933,5.93,1.102,0.978,0.869,1.151,2.813,0.351,1.615,0.969,1.503
548,7.358,0.397,58.549,2.623,0.705,22.575,2.019,2.79,35.615,1.046,0.734,1.134,1.47,0.893,4.043,6.729,1.093,1.168,0.828,1.183,3.102,0.437,1.583,1.01,1.507
549,5.307,0.443,37.095,2.16,0.741,14.931,2.385,2.929,32.5,1.195,0.758,1.195,1.318,1.258,4.082,7.016,1.092,1.332,0.746,1.159,3.105,0.569,1.502,0.975,1.497
550,5.243,0.522,28.366,2.175,0.764,9.918,2.725,3.002,29.788,1.443,0.759,1.266,1.201,1.662,4.096,7.001,1.126,1.427,0.658,1.079,2.887,0.763,1.409,0.87,1.464
551,7.175,0.626,36.69,2.714,0.785,10.516,2.912,2.984,27.321,1.731,0.729,1.305,1.116,2.014,4.113,6.374,1.208,1.424,0.602,0.959,2.438,1.024,1.313,0.735,1.4
552,10.131,0.735,55.207,3.529,0.819,14.32,2.863,2.889,26.315,1.973,0.672,1.271,1.044,2.265,4.106,5.673,1.305,1.314,0.599,0.826,1.943,1.336,1.205,0.629,1.304
553,12.8,0.821,71.344,4.297,0.865,18.002,2.556,2.757,26.365,2.091,0.602,1.157,0.97,2.386,3.996,4.835,1.385,1.13,0.65,0.71,1.447,1.656,1.067,0.596,1.188
554,14.161,0.86,79.29,4.731,0.914,19.867,2.058,2.659,27.5,2.029,0.537,0.978,0.889,2.355,3.713,3.967,1.418,0.928,0.731,0.632,1.002,1.916,0.893,0.64,1.07
555,13.591,0.84,76.542,4.648,0.95,19.494,1.522,2.657,29.984,1.8,0.49,0.776,0.807,2.196,3.26,3.529,1.415,0.771,0.812,0.591,0.739,2.058,0.716,0.733,0.966
556,11.32,0.773,61.78,4.074,0.963,15.599,1.11,2.755,32.992,1.464,0.466,0.597,0.732,1.999,2.74,3.112,1.42,0.695,0.868,0.571,0.574,2.052,0.578,0.828,0.88
557,8.153,0.691,44.943,3.219,0.955,11.979,0.917,2.884,36.137,1.11,0.461,0.466,0.67,1.839,2.311,3.415,1.49,0.718,0.895,0.548,0.65,1.918,0.535,0.896,0.811
558,5.049,0.628,25.731,2.329,0.94,6.92,0.928,2.941,37.65,0.813,0.467,0.39,0.626,1.789,2.124,3.358,1.662,0.82,0.896,0.508,0.818,1.727,0.596,0.926,0.753
559,2.792,0.605,14.021,1.657,0.929,4.345,1.078,2.837,37.354,0.615,0.476,0.368,0.601,1.837,2.233,3.747,1.899,0.968,0.875,0.458,1.139,1.562,0.731,0.924,0.708
560,1.589,0.617,6.885,1.265,0.921,2.783,1.293,2.563,34.337,0.524,0.485,0.405,0.595,1.943,2.578,3.924,2.123,1.115,0.837,0.41,1.575,1.482,0.896,0.901,0.684
561,1.227,0.639,5.069,1.133,0.905,3.038,1.494,2.203,29.578,0.53,0.49,0.503,0.602,2.028,3.03,4.002,2.248,1.242,0.783,0.377,2.157,1.494,1.07,0.86,0.677
562,1.232,0.641,4.699,1.131,0.871,4.046,1.654,1.872,23.564,0.614,0.489,0.656,0.609,2.035,3.436,3.865,2.248,1.358,0.719,0.36,2.808,1.571,1.246,0.805,0.674
563,1.295,0.614,5.095,1.155,0.818,5.344,1.779,1.652,17.518,0.755,0.484,0.847,0.604,1.936,3.676,3.71,2.159,1.463,0.657,0.357,3.469,1.659,1.422,0.739,0.66
564,1.377,0.566,5.617,1.159,0.754,6.597,1.872,1.56,12.644,0.929,0.476,1.046,0.576,1.744,3.695,3.397,2.025,1.549,0.612,0.366,3.904,1.712,1.589,0.669,0.636
565,1.477,0.515,5.979,1.121,0.692,6.947,1.965,1.554,9.268,1.106,0.467,1.21,0.527,1.5,3.501,3.162,1.888,1.593,0.59,0.386,4.0,1.709,1.71,0.608,0.615
566,1.566,0.479,6.205,1.035,0.644,6.537,2.106,1.591,7.867,1.249,0.456,1.309,0.466,1.25,3.144,3.206,1.767,1.584,0.586,0.412,3.714,1.65,1.752,0.566,0.613
567,1.608,0.47,5.914,0.919,0.62,5.479,2.268,1.666,7.925,1.321,0.441,1.336,0.409,1.031,2.707,3.747,1.701,1.569,0.591,0.441,3.166,1.58,1.705,0.547,0.639
568,1.566,0.492,5.116,0.798,0.628,3.895,2.406,1.776,8.662,1.322,0.421,1.319,0.367,0.868,2.285,4.833,1.728,1.623,0.593,0.465,2.655,1.567,1.587,0.543,0.692
569,1.45,0.541,4.398,0.699,0.662,2.732,2.472,1.903,9.798,1.29,0.397,1.282,0.346,0.767,1.972,6.115,1.882,1.779,0.582,0.473,2.305,1.678,1.421,0.536,0.759
570,1.311,0.603,4.017,0.623,0.71,1.729,2.407,2.008,10.664,1.283,0.374,1.254,0.346,0.737,1.833,7.261,2.169,1.995,0.555,0.461,2.254,1.944,1.246,0.525,0.819
571,1.221,0.666,4.505,0.569,0.757,1.365,2.22,2.043,11.64,1.332,0.356,1.233,0.361,0.772,1.896,7.97,2.54,2.166,0.518,0.428,2.347,2.33,1.084,0.524,0.851
572,1.235,0.721,5.709,0.528,0.79,1.217,1.936,1.983,12.387,1.428,0.348,1.21,0.386,0.847,2.137,8.051,2.905,2.189,0.484,0.385,2.431,2.735,0.934,0.554,0.846
573,1.403,0.755,7.2,0.523,0.792,1.176,1.617,1.85,13.087,1.521,0.35,1.161,0.415,0.938,2.482,7.495,3.144,2.024,0.462,0.343,2.338,3.028,0.785,0.618,0.804
574,1.832,0.764,10.379,0.615,0.763,1.729,1.364,1.712,14.51,1.583,0.357,1.089,0.446,1.025,2.84,6.484,3.182,1.714,0.452,0.313,2.021,3.116,0.637,0.7,0.739
