itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
610,0.825,0.527,2.934,1.46,0.484,3.438,2.524,3.48,28.444,0.998,0.379,1.408,0.754,2.14,3.015,1.615,2.132,0.978,0.246,0.469,2.616,1.347,2.259,0.484,0.604
611,0.924,0.523,1.544,1.347,0.455,3.16,3.139,3.282,29.344,1.086,0.447,1.649,0.772,2.49,2.692,1.769,1.854,1.035,0.213,0.47,2.722,1.261,2.145,0.434,0.638
612,1.166,0.49,1.761,1.292,0.44,3.112,3.569,2.942,29.395,1.135,0.512,1.846,0.772,2.643,2.605,2.363,1.665,1.1,0.193,0.479,2.701,1.199,1.981,0.395,0.686
613,1.364,0.431,2.151,1.242,0.427,2.743,3.658,2.586,28.974,1.157,0.559,1.997,0.76,2.577,2.803,3.031,1.569,1.228,0.203,0.495,2.523,1.139,1.843,0.381,0.749
614,1.502,0.371,2.289,1.179,0.416,2.401,3.41,2.343,28.605,1.19,0.583,2.104,0.741,2.327,3.207,3.853,1.724,1.452,0.28,0.525,2.246,1.063,1.754,0.398,0.817
615,1.569,0.339,2.351,1.109,0.415,1.988,2.963,2.29,29.098,1.242,0.588,2.162,0.719,1.963,3.648,4.893,2.391,1.757,0.474,0.579,1.873,0.989,1.695,0.443,0.873
616,1.565,0.36,2.114,1.029,0.436,1.712,2.435,2.412,30.798,1.284,0.583,2.139,0.694,1.582,3.945,6.397,3.694,2.067,0.803,0.66,1.495,0.936,1.615,0.509,0.903
617,1.529,0.44,1.839,0.992,0.483,1.489,1.898,2.613,33.124,1.289,0.577,2.009,0.67,1.253,3.996,8.478,5.423,2.281,1.228,0.759,1.156,0.91,1.472,0.588,0.9
618,1.5,0.553,1.422,1.049,0.551,1.324,1.454,2.768,35.236,1.238,0.575,1.8,0.655,1.013,3.8,10.922,7.137,2.331,1.65,0.853,0.937,0.932,1.285,0.661,0.876
619,1.499,0.66,1.145,1.249,0.623,1.305,1.126,2.767,36.142,1.147,0.574,1.579,0.656,0.855,3.456,12.991,8.333,2.251,1.946,0.912,0.975,1.011,1.11,0.712,0.852
