itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
253,3.86,1.063,5.751,8.225,1.014,9.228,1.384,0.618,1.577,2.322,0.598,2.319,0.469,0.819,0.458,2.997,3.935,0.986,0.913,0.579,5.796,5.627,0.805,1.107,1.18
254,3.968,1.072,4.815,8.643,1.035,9.376,1.38,0.527,1.658,2.75,0.594,2.939,0.488,0.853,0.461,2.84,4.098,1.063,0.804,0.613,5.946,5.753,0.817,1.086,1.208
255,4.016,1.099,4.557,8.441,1.078,9.343,1.232,0.474,1.749,3.057,0.588,3.402,0.501,0.835,0.457,2.572,3.925,1.123,0.698,0.619,5.805,5.538,0.934,1.116,1.162
256,4.558,1.127,6.064,8.218,1.128,9.64,0.998,0.466,1.768,3.125,0.579,3.502,0.502,0.796,0.437,2.219,3.539,1.165,0.62,0.596,5.472,5.185,1.091,1.201,1.043
257,7.179,1.152,18.923,9.336,1.169,15.468,0.767,0.499,1.717,3.101,0.564,3.236,0.489,0.781,0.403,1.902,3.132,1.206,0.582,0.548,4.938,4.974,1.254,1.326,0.882
258,13.454,1.181,56.617,13.166,1.193,34.172,0.629,0.563,1.569,3.215,0.544,2.752,0.465,0.817,0.359,1.7,2.885,1.252,0.583,0.487,4.444,5.126,1.387,1.463,0.727
259,23.521,1.234,126.128,19.986,1.209,69.912,0.628,0.643,1.438,3.627,0.518,2.287,0.435,0.892,0.313,1.601,2.87,1.304,0.617,0.423,4.077,5.675,1.471,1.582,0.618
260,35.429,1.313,218.806,28.422,1.225,118.038,0.738,0.728,1.338,4.3,0.485,2.011,0.407,0.967,0.272,1.62,3.026,1.358,0.685,0.369,4.051,6.407,1.48,1.665,0.578
261,45.81,1.404,311.037,35.963,1.243,166.102,0.892,0.801,1.314,5.02,0.451,1.962,0.389,0.992,0.247,1.687,3.236,1.398,0.785,0.333,4.335,6.988,1.412,1.702,0.594
262,51.37,1.473,373.41,40.003,1.255,198.427,1.014,0.844,1.372,5.48,0.428,2.04,0.383,0.95,0.244,1.787,3.386,1.41,0.904,0.315,4.98,7.11,1.31,1.681,0.639
