itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
969,2.357,0.631,7.609,1.208,0.399,3.585,3.487,1.523,20.757,0.834,0.12,0.705,0.161,1.663,0.826,4.584,1.521,0.73,0.588,0.306,1.626,1.255,0.4,0.289,0.346
970,2.606,0.553,6.233,1.255,0.362,3.037,4.036,1.605,22.376,0.754,0.123,0.6,0.158,1.453,0.846,5.751,1.972,0.683,0.572,0.3,1.612,1.274,0.453,0.299,0.393
971,2.773,0.44,4.694,1.303,0.325,2.563,4.552,1.686,24.051,0.639,0.138,0.479,0.166,1.491,0.881,6.931,2.518,0.711,0.574,0.311,1.597,1.335,0.5,0.321,0.434
972,2.803,0.328,3.323,1.327,0.299,2.313,5.634,1.894,28.847,0.512,0.166,0.36,0.186,1.807,0.94,7.788,2.941,0.822,0.605,0.335,1.587,1.396,0.523,0.363,0.463
973,2.69,0.246,2.297,1.316,0.291,2.293,7.978,2.338,40.219,0.396,0.205,0.268,0.215,2.445,1.024,7.908,3.07,0.994,0.659,0.366,1.585,1.416,0.522,0.428,0.477
974,2.443,0.203,1.774,1.26,0.295,2.391,11.794,3.001,58.016,0.307,0.244,0.22,0.245,3.362,1.121,7.212,2.864,1.187,0.715,0.394,1.565,1.337,0.506,0.508,0.47
975,2.109,0.187,1.525,1.164,0.305,2.455,16.317,3.709,79.862,0.251,0.273,0.224,0.268,4.441,1.207,6.012,2.471,1.378,0.75,0.413,1.51,1.148,0.495,0.58,0.441
976,1.729,0.181,1.398,1.065,0.316,2.383,20.188,4.229,100.013,0.225,0.281,0.271,0.277,5.506,1.26,4.644,2.179,1.571,0.763,0.42,1.456,0.905,0.497,0.624,0.395
977,1.374,0.172,1.315,1.023,0.327,2.23,22.187,4.397,112.134,0.222,0.267,0.35,0.269,6.466,1.265,3.571,2.288,1.793,0.768,0.412,1.451,0.684,0.513,0.625,0.34
978,1.106,0.159,1.316,1.078,0.333,2.106,21.828,4.179,111.76,0.235,0.235,0.443,0.248,7.329,1.227,2.968,2.923,2.049,0.785,0.392,1.51,0.536,0.536,0.586,0.287
979,0.953,0.147,1.571,1.22,0.331,2.105,19.509,3.7,100.364,0.258,0.198,0.521,0.225,8.158,1.163,2.865,3.988,2.308,0.821,0.362,1.612,0.467,0.548,0.516,0.246
980,0.898,0.143,2.293,1.392,0.319,2.282,16.123,3.158,82.389,0.288,0.167,0.569,0.209,8.934,1.094,3.163,5.208,2.51,0.866,0.332,1.733,0.453,0.539,0.437,0.222
981,0.907,0.153,3.555,1.558,0.299,2.613,12.693,2.704,63.767,0.32,0.149,0.582,0.205,9.496,1.035,3.653,6.246,2.602,0.889,0.312,1.862,0.48,0.507,0.367,0.218
982,0.955,0.179,5.137,1.721,0.278,2.983,9.915,2.401,48.015,0.342,0.144,0.558,0.212,9.587,0.991,4.419,6.897,2.564,0.87,0.311,1.984,0.562,0.455,0.32,0.229
983,1.044,0.214,6.65,1.905,0.268,3.272,7.922,2.222,36.798,0.351,0.147,0.5,0.223,9.029,0.955,6.06,7.113,2.413,0.815,0.335,2.097,0.715,0.39,0.299,0.247
984,1.166,0.249,7.642,2.132,0.268,3.409,6.379,2.1,28.615,0.364,0.151,0.423,0.23,7.875,0.912,8.499,7.129,2.215,0.773,0.381,2.195,0.921,0.32,0.3,0.263
985,1.299,0.277,7.902,2.39,0.277,3.357,4.89,1.986,21.865,0.402,0.152,0.352,0.225,6.416,0.851,11.923,7.337,2.064,0.795,0.44,2.265,1.126,0.261,0.31,0.272
986,1.428,0.294,7.595,2.626,0.284,3.153,3.511,1.886,16.106,0.488,0.151,0.311,0.209,5.058,0.773,15.288,8.004,2.04,0.91,0.503,2.305,1.27,0.233,0.321,0.273
