itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
230,1.33,0.912,1.713,1.452,0.87,1.833,3.429,1.971,17.968,1.573,0.328,1.73,0.328,2.586,1.183,1.83,1.768,2.38,0.443,0.199,2.792,1.577,0.983,0.933,0.284
231,1.04,1.037,1.876,1.124,1.038,2.253,2.817,2.361,18.51,1.582,0.323,1.788,0.306,2.601,0.972,2.035,1.757,2.203,0.498,0.215,3.164,1.383,1.042,1.016,0.277
232,0.859,1.177,2.024,0.882,1.217,2.894,2.804,2.727,20.54,1.686,0.325,1.934,0.293,2.567,0.816,2.213,1.679,2.057,0.582,0.231,3.403,1.327,1.176,1.165,0.288
233,0.784,1.269,2.109,0.761,1.329,3.541,3.308,2.993,23.596,1.788,0.326,2.059,0.288,2.478,0.74,2.265,1.588,1.955,0.656,0.243,3.438,1.36,1.293,1.288,0.303
234,0.756,1.26,2.078,0.752,1.317,3.96,4.162,3.099,26.89,1.782,0.313,2.054,0.28,2.369,0.736,2.125,1.598,1.847,0.682,0.247,3.233,1.409,1.314,1.304,0.307
235,0.743,1.149,1.916,0.851,1.181,4.01,5.108,3.032,28.669,1.647,0.285,1.901,0.264,2.301,0.768,1.817,1.911,1.715,0.646,0.242,2.803,1.452,1.252,1.196,0.294
236,0.766,0.99,1.648,1.063,0.986,3.674,5.816,2.836,28.514,1.482,0.252,1.706,0.242,2.333,0.794,1.435,2.678,1.66,0.566,0.23,2.201,1.518,1.25,1.034,0.277
237,0.855,0.859,1.329,1.365,0.822,3.07,6.201,2.576,31.673,1.422,0.23,1.62,0.225,2.469,0.792,1.11,3.821,1.845,0.485,0.218,1.569,1.641,1.465,0.917,0.274
238,1.013,0.807,1.033,1.703,0.753,2.344,6.281,2.306,45.196,1.526,0.226,1.714,0.22,2.698,0.769,0.915,5.026,2.326,0.441,0.21,0.996,1.822,1.932,0.912,0.296
239,1.211,0.831,0.796,1.991,0.778,1.668,6.197,2.08,72.877,1.746,0.239,1.934,0.229,2.954,0.744,0.854,5.896,2.975,0.438,0.207,0.597,2.0,2.528,1.008,0.335
