itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
106,8.116,0.514,111.897,1.476,0.55,27.218,1.304,2.82,1.717,3.006,0.741,0.893,0.711,1.205,3.182,3.542,1.082,1.596,0.546,0.991,1.843,1.371,0.922,1.676,1.392
107,8.628,0.626,115.021,1.308,0.608,28.042,1.252,3.109,1.909,3.178,0.647,0.881,0.618,1.37,3.284,3.796,1.092,1.282,0.586,0.862,1.867,1.49,0.912,1.737,1.283
108,8.122,0.762,100.98,1.187,0.692,24.411,1.226,3.803,1.983,3.047,0.557,0.882,0.547,1.497,3.289,4.18,1.108,0.937,0.647,0.726,1.934,1.546,0.924,1.696,1.224
109,6.724,0.903,78.335,1.087,0.784,19.479,1.21,4.585,2.005,2.649,0.499,0.888,0.517,1.529,3.224,3.542,1.154,0.675,0.717,0.607,2.012,1.513,0.979,1.573,1.211
110,4.897,1.019,49.828,1.01,0.86,12.597,1.177,5.09,2.07,2.134,0.487,0.912,0.533,1.445,3.123,3.431,1.213,0.537,0.778,0.517,2.042,1.382,1.078,1.411,1.212
111,3.165,1.078,27.608,0.916,0.916,7.746,1.081,5.114,1.96,1.622,0.522,0.922,0.585,1.246,3.017,2.812,1.277,0.527,0.804,0.465,2.062,1.184,1.199,1.246,1.186
112,1.913,1.061,11.913,0.813,0.96,3.951,0.925,4.699,2.041,1.225,0.592,0.904,0.66,0.991,2.94,2.999,1.316,0.586,0.78,0.452,1.94,0.958,1.3,1.101,1.12
113,1.25,0.972,5.524,0.72,1.005,2.597,0.738,4.043,1.936,0.96,0.681,0.838,0.745,0.752,2.909,3.117,1.328,0.682,0.714,0.482,1.815,0.759,1.357,0.983,1.039
114,0.998,0.843,3.359,0.662,1.063,2.081,0.576,3.394,1.911,0.819,0.776,0.765,0.831,0.599,2.931,3.557,1.329,0.789,0.637,0.559,1.545,0.629,1.357,0.892,0.996
115,0.872,0.723,3.238,0.613,1.129,2.373,0.478,2.954,1.771,0.748,0.866,0.702,0.91,0.54,2.999,3.721,1.37,0.913,0.597,0.676,1.256,0.578,1.312,0.833,1.029
116,0.756,0.656,3.273,0.563,1.186,2.938,0.46,2.797,1.596,0.711,0.936,0.666,0.97,0.547,3.105,3.695,1.495,1.063,0.641,0.81,1.051,0.588,1.232,0.797,1.141
117,0.633,0.671,3.413,0.523,1.218,4.09,0.501,2.866,1.461,0.694,0.982,0.66,1.007,0.576,3.228,3.361,1.683,1.282,0.796,0.934,0.915,0.631,1.165,0.772,1.305
118,0.502,0.775,3.501,0.506,1.228,5.238,0.575,3.055,1.317,0.724,1.014,0.711,1.028,0.601,3.324,2.997,1.881,1.618,1.056,1.038,0.999,0.7,1.175,0.764,1.497
119,0.386,0.953,3.949,0.52,1.237,6.588,0.678,3.297,1.22,0.869,1.051,0.846,1.045,0.626,3.357,2.777,2.026,2.075,1.378,1.126,1.196,0.826,1.333,0.803,1.701
120,0.311,1.172,5.016,0.571,1.275,7.66,0.803,3.569,1.169,1.187,1.106,1.076,1.07,0.657,3.328,2.831,2.082,2.576,1.697,1.211,1.525,1.073,1.682,0.921,1.901
121,0.314,1.395,6.843,0.665,1.368,8.131,0.952,3.832,1.152,1.706,1.175,1.391,1.099,0.724,3.275,3.344,2.038,2.997,1.953,1.3,1.957,1.514,2.206,1.139,2.071
122,0.481,1.596,8.521,0.843,1.528,8.094,1.124,4.008,1.103,2.365,1.239,1.729,1.123,0.874,3.25,4.028,1.934,3.213,2.11,1.384,2.47,2.158,2.817,1.441,2.188
123,1.006,1.765,12.694,1.139,1.75,8.453,1.295,4.003,1.106,3.05,1.271,2.012,1.126,1.133,3.303,5.129,1.797,3.156,2.172,1.446,3.048,2.889,3.38,1.789,2.254
124,2.071,1.903,19.921,1.595,2.029,10.021,1.431,3.766,1.044,3.633,1.255,2.201,1.096,1.481,3.459,6.05,1.656,2.839,2.165,1.463,3.671,3.494,3.745,2.123,2.287
125,3.706,2.01,34.165,2.229,2.355,14.284,1.493,3.324,1.054,3.991,1.193,2.262,1.036,1.839,3.693,6.699,1.505,2.358,2.11,1.423,4.192,3.782,3.794,2.39,2.309
126,5.664,2.086,52.271,2.988,2.701,20.669,1.459,2.795,1.102,4.086,1.114,2.219,0.966,2.115,3.935,7.356,1.372,1.839,2.032,1.346,4.621,3.664,3.537,2.568,2.337
127,7.475,2.126,70.64,3.726,3.015,27.281,1.331,2.334,1.168,3.955,1.063,2.113,0.91,2.208,4.108,7.413,1.277,1.421,1.946,1.274,5.328,3.316,3.144,2.687,2.384
128,8.646,2.122,83.639,4.267,3.216,32.658,1.149,2.078,1.293,3.689,1.068,1.979,0.885,2.103,4.173,7.62,1.212,1.146,1.856,1.249,7.076,3.075,2.832,2.838,2.442
129,8.845,2.064,85.56,4.434,3.232,33.561,0.959,2.069,1.345,3.381,1.126,1.84,0.888,1.841,4.146,6.751,1.168,1.0,1.753,1.278,10.599,3.31,2.792,3.12,2.483
130,8.063,1.941,77.033,4.156,3.021,30.885,0.805,2.259,1.41,3.086,1.203,1.69,0.909,1.531,4.078,6.277,1.125,0.915,1.633,1.325,16.063,4.183,3.061,3.558,2.465
131,6.602,1.759,58.795,3.51,2.609,23.86,0.698,2.532,1.354,2.797,1.253,1.522,0.944,1.279,4.013,4.733,1.076,0.861,1.499,1.338,22.512,5.529,3.513,4.061,2.359
132,4.944,1.539,39.065,2.696,2.081,16.625,0.628,2.776,1.276,2.501,1.25,1.333,0.992,1.162,3.951,3.942,1.025,0.827,1.353,1.281,28.129,6.907,3.937,4.454,2.172
133,3.514,1.312,21.076,1.94,1.56,9.359,0.571,2.939,1.128,2.183,1.194,1.138,1.053,1.177,3.865,2.638,0.987,0.833,1.198,1.154,30.93,7.792,4.139,4.562,1.94
134,2.614,1.109,10.245,1.445,1.154,5.308,0.509,2.996,0.992,1.879,1.106,0.978,1.112,1.266,3.725,1.945,0.962,0.906,1.04,0.996,29.851,7.82,4.051,4.295,1.711
135,2.227,0.954,4.77,1.283,0.911,2.935,0.436,2.963,0.906,1.63,1.019,0.895,1.152,1.347,3.541,1.506,0.936,1.057,0.894,0.862,25.056,6.952,3.735,3.69,1.534
136,2.158,0.847,2.89,1.382,0.821,2.417,0.368,2.891,0.897,1.486,0.97,0.93,1.164,1.375,3.351,1.428,0.879,1.267,0.777,0.801,18.105,5.446,3.309,2.892,1.45
137,2.204,0.778,2.009,1.59,0.823,2.117,0.334,2.85,0.983,1.484,0.978,1.092,1.157,1.366,3.211,1.565,0.78,1.484,0.702,0.832,10.976,3.779,2.916,2.095,1.48
138,2.254,0.731,1.331,1.738,0.851,1.847,0.353,2.893,1.181,1.608,1.033,1.359,1.146,1.364,3.155,1.797,0.653,1.643,0.67,0.931,5.403,2.387,2.623,1.463,1.607
139,2.231,0.696,1.028,1.753,0.866,1.475,0.436,3.036,1.444,1.779,1.11,1.657,1.145,1.417,3.174,1.837,0.537,1.69,0.675,1.057,2.156,1.507,2.388,1.064,1.782
140,2.113,0.667,0.745,1.642,0.852,1.012,0.591,3.269,1.825,1.88,1.186,1.894,1.163,1.541,3.224,1.918,0.489,1.612,0.708,1.17,0.895,1.121,2.147,0.872,1.945
141,1.899,0.656,0.802,1.446,0.811,0.897,0.798,3.558,2.288,1.823,1.245,1.994,1.196,1.709,3.272,1.734,0.539,1.447,0.764,1.251,0.712,1.045,1.874,0.814,2.047
