itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
493,1.598,0.644,2.843,1.791,0.913,2.456,1.797,0.97,2.558,1.291,0.35,1.491,0.374,0.88,0.72,2.767,1.755,0.873,0.685,0.4,1.709,2.324,0.788,1.116,0.59
494,1.934,0.699,3.763,2.492,1.021,3.249,2.065,1.118,2.677,1.384,0.359,1.634,0.389,0.742,0.674,3.139,2.287,0.927,0.769,0.377,2.286,3.418,0.75,1.17,0.523
495,2.174,0.752,4.609,3.292,1.12,4.077,2.223,1.233,2.691,1.454,0.404,1.727,0.432,0.623,0.621,3.802,2.782,1.032,0.862,0.357,3.151,4.712,0.72,1.239,0.465
496,2.253,0.781,5.079,3.972,1.182,4.581,2.203,1.297,2.592,1.467,0.475,1.743,0.496,0.539,0.568,4.586,3.105,1.151,0.921,0.342,4.071,5.839,0.7,1.303,0.427
497,2.138,0.778,5.003,4.303,1.186,4.61,1.999,1.314,2.388,1.399,0.552,1.656,0.567,0.481,0.528,5.229,3.175,1.233,0.922,0.331,4.735,6.427,0.683,1.336,0.412
498,1.858,0.751,4.453,4.17,1.132,4.14,1.668,1.311,2.082,1.255,0.61,1.473,0.624,0.433,0.514,5.452,2.994,1.235,0.866,0.329,4.892,6.276,0.66,1.32,0.412
499,1.509,0.716,3.622,3.633,1.038,3.359,1.306,1.312,1.694,1.063,0.632,1.221,0.652,0.392,0.529,5.161,2.651,1.145,0.778,0.336,4.526,5.448,0.637,1.248,0.423
500,1.218,0.682,2.937,2.893,0.92,2.579,1.01,1.312,1.319,0.865,0.61,0.949,0.647,0.361,0.565,4.512,2.275,0.988,0.684,0.351,3.735,4.221,0.635,1.122,0.439
501,1.076,0.65,2.653,2.204,0.797,2.044,0.82,1.289,1.06,0.701,0.558,0.715,0.618,0.343,0.601,3.654,1.971,0.818,0.603,0.37,2.833,2.958,0.681,0.956,0.461
502,1.099,0.614,2.85,1.749,0.682,1.83,0.726,1.215,0.974,0.6,0.495,0.569,0.581,0.334,0.625,2.923,1.78,0.701,0.544,0.387,2.039,1.948,0.789,0.779,0.489
503,1.227,0.576,3.311,1.568,0.588,1.793,0.699,1.078,1.001,0.566,0.444,0.55,0.548,0.334,0.631,2.365,1.674,0.672,0.504,0.396,1.532,1.308,0.942,0.626,0.523
504,1.353,0.547,3.729,1.569,0.53,1.789,0.704,0.898,1.05,0.58,0.414,0.649,0.524,0.338,0.626,2.08,1.601,0.724,0.477,0.394,1.281,0.985,1.109,0.528,0.557
505,1.376,0.539,3.828,1.593,0.51,1.666,0.708,0.721,1.09,0.608,0.404,0.82,0.505,0.346,0.618,1.781,1.516,0.813,0.454,0.381,1.178,0.849,1.256,0.498,0.579
506,1.257,0.553,3.51,1.518,0.515,1.395,0.687,0.593,1.118,0.636,0.406,1.019,0.484,0.353,0.611,1.474,1.413,0.886,0.434,0.361,1.089,0.777,1.357,0.522,0.581
507,1.052,0.579,2.93,1.335,0.527,1.083,0.635,0.541,1.17,0.661,0.406,1.201,0.46,0.359,0.603,1.125,1.301,0.904,0.421,0.342,0.944,0.709,1.403,0.566,0.562
508,0.892,0.606,2.344,1.144,0.531,0.907,0.566,0.559,1.226,0.694,0.403,1.332,0.438,0.362,0.591,0.945,1.179,0.851,0.417,0.336,0.836,0.662,1.391,0.607,0.529
509,0.899,0.62,1.977,1.063,0.522,1.063,0.506,0.624,1.3,0.773,0.398,1.402,0.425,0.384,0.571,1.034,1.067,0.758,0.424,0.349,0.881,0.677,1.333,0.626,0.498
510,1.119,0.616,1.921,1.15,0.498,1.595,0.463,0.711,1.396,0.952,0.391,1.445,0.422,0.456,0.548,1.44,0.979,0.7,0.44,0.382,1.178,0.765,1.269,0.617,0.477
511,1.49,0.595,2.059,1.37,0.468,2.365,0.432,0.803,1.493,1.267,0.38,1.508,0.425,0.588,0.53,2.014,0.916,0.745,0.462,0.424,1.612,0.906,1.241,0.587,0.466
512,1.879,0.559,2.245,1.617,0.441,3.113,0.403,0.885,1.548,1.69,0.364,1.614,0.424,0.763,0.532,2.551,0.87,0.906,0.485,0.461,2.038,1.053,1.267,0.553,0.459
513,2.155,0.515,2.349,1.778,0.427,3.62,0.372,0.94,1.519,2.121,0.342,1.734,0.412,0.936,0.558,2.895,0.824,1.127,0.507,0.482,2.302,1.149,1.338,0.525,0.449
514,2.223,0.47,2.331,1.792,0.43,3.758,0.339,0.966,1.417,2.426,0.317,1.817,0.39,1.049,0.605,3.044,0.772,1.32,0.531,0.479,2.328,1.165,1.445,0.51,0.432
515,2.048,0.44,2.194,1.661,0.464,3.506,0.307,0.976,1.278,2.499,0.293,1.813,0.361,1.062,0.658,3.118,0.724,1.406,0.563,0.454,2.145,1.111,1.568,0.523,0.409
516,1.689,0.443,1.975,1.464,0.538,2.964,0.281,0.985,1.142,2.319,0.277,1.711,0.335,0.974,0.7,3.246,0.692,1.366,0.606,0.415,1.814,1.039,1.692,0.585,0.385
517,1.303,0.499,1.751,1.343,0.657,2.333,0.268,1.005,1.034,1.992,0.27,1.589,0.317,0.824,0.716,3.487,0.685,1.246,0.664,0.371,1.464,1.028,1.819,0.711,0.362
518,1.077,0.62,1.622,1.429,0.815,1.856,0.284,1.039,0.962,1.689,0.268,1.573,0.305,0.674,0.703,3.737,0.703,1.124,0.734,0.331,1.174,1.143,1.957,0.894,0.34
519,1.136,0.802,1.552,1.781,0.991,1.565,0.337,1.081,0.943,1.546,0.266,1.74,0.296,0.58,0.667,3.822,0.743,1.064,0.807,0.301,0.964,1.437,2.103,1.104,0.319
520,1.466,1.013,1.498,2.332,1.152,1.423,0.42,1.122,0.985,1.605,0.259,2.072,0.285,0.568,0.619,3.618,0.79,1.082,0.864,0.283,0.801,1.907,2.238,1.294,0.294
521,1.936,1.213,1.424,2.911,1.279,1.343,0.51,1.159,1.058,1.809,0.248,2.468,0.271,0.633,0.575,3.108,0.829,1.147,0.895,0.281,0.696,2.464,2.336,1.436,0.271
522,2.365,1.374,1.414,3.332,1.368,1.354,0.575,1.19,1.109,2.045,0.236,2.788,0.257,0.727,0.546,2.458,0.859,1.205,0.899,0.293,0.762,2.973,2.376,1.519,0.255
523,2.613,1.484,1.574,3.476,1.426,1.53,0.587,1.225,1.102,2.196,0.226,2.915,0.245,0.795,0.536,1.872,0.88,1.2,0.883,0.313,1.099,3.31,2.355,1.56,0.254
524,2.638,1.547,1.938,3.327,1.465,1.875,0.541,1.27,1.088,2.21,0.221,2.822,0.238,0.813,0.544,1.528,0.898,1.108,0.862,0.333,1.676,3.394,2.291,1.584,0.268
525,2.514,1.562,2.522,3.001,1.478,2.346,0.458,1.314,1.114,2.128,0.22,2.59,0.238,0.783,0.566,1.429,0.933,0.947,0.849,0.343,2.313,3.207,2.222,1.61,0.295
526,2.557,1.536,4.1,2.886,1.457,3.654,0.397,1.323,1.152,2.077,0.227,2.393,0.25,0.745,0.596,1.527,1.039,0.769,0.846,0.342,2.85,2.829,2.173,1.627,0.327
527,3.219,1.478,8.071,3.515,1.405,7.232,0.422,1.27,1.188,2.228,0.248,2.445,0.279,0.76,0.628,1.755,1.269,0.63,0.847,0.333,3.222,2.403,2.151,1.614,0.36
528,4.846,1.401,15.34,5.293,1.332,14.05,0.565,1.158,1.257,2.678,0.284,2.866,0.326,0.857,0.651,2.081,1.637,0.572,0.84,0.322,3.489,2.076,2.155,1.556,0.388
529,7.437,1.318,25.151,8.218,1.257,23.413,0.808,1.021,1.383,3.365,0.332,3.574,0.381,1.013,0.659,2.479,2.112,0.623,0.813,0.316,3.667,1.963,2.167,1.446,0.407
530,10.534,1.247,35.229,11.734,1.206,33.224,1.096,0.908,1.562,4.117,0.379,4.354,0.429,1.168,0.648,2.868,2.619,0.812,0.769,0.315,3.87,2.09,2.191,1.309,0.414
531,13.359,1.209,42.615,14.881,1.191,40.635,1.364,0.853,1.738,4.708,0.414,4.924,0.456,1.263,0.624,3.189,3.072,1.154,0.722,0.319,4.044,2.404,2.254,1.195,0.412
532,15.08,1.217,44.665,16.669,1.206,43.042,1.556,0.861,1.955,4.949,0.427,5.065,0.451,1.261,0.594,3.315,3.384,1.597,0.686,0.321,4.168,2.781,2.36,1.142,0.404
533,15.217,1.262,41.03,16.581,1.236,40.04,1.644,0.909,2.303,4.781,0.417,4.749,0.417,1.163,0.564,3.302,3.503,2.035,0.667,0.314,4.17,3.097,2.48,1.15,0.393
534,13.775,1.32,32.687,14.697,1.266,32.582,1.64,0.97,2.841,4.263,0.389,4.102,0.365,0.995,0.536,3.225,3.415,2.338,0.667,0.296,4.078,3.257,2.535,1.187,0.383
535,11.245,1.356,22.862,11.678,1.285,23.546,1.579,1.032,3.528,3.543,0.35,3.341,0.312,0.809,0.511,3.263,3.153,2.396,0.678,0.268,3.917,3.232,2.452,1.209,0.373
536,8.426,1.352,14.045,8.482,1.298,15.339,1.513,1.1,4.196,2.83,0.31,2.7,0.271,0.653,0.485,3.516,2.8,2.195,0.697,0.236,3.785,3.085,2.22,1.19,0.364
537,6.034,1.311,8.17,5.916,1.31,9.688,1.48,1.177,4.639,2.29,0.274,2.326,0.248,0.542,0.455,3.898,2.449,1.807,0.715,0.204,3.711,2.92,1.892,1.128,0.355
538,4.401,1.237,5.095,4.296,1.313,6.537,1.482,1.25,4.706,1.96,0.242,2.191,0.237,0.46,0.424,4.281,2.166,1.349,0.722,0.178,3.635,2.813,1.551,1.035,0.344
539,3.446,1.135,3.79,3.444,1.284,4.957,1.497,1.3,4.353,1.76,0.217,2.129,0.231,0.388,0.395,4.428,1.96,0.928,0.713,0.164,3.475,2.774,1.247,0.93,0.332
540,2.902,1.014,3.131,3.012,1.214,3.962,1.501,1.331,3.669,1.597,0.206,2.0,0.227,0.327,0.377,4.278,1.821,0.614,0.698,0.166,3.223,2.765,1.017,0.841,0.321
541,2.515,0.898,2.836,2.691,1.122,3.326,1.469,1.367,2.855,1.446,0.219,1.78,0.229,0.3,0.376,3.862,1.717,0.424,0.703,0.186,2.953,2.687,0.874,0.801,0.316
