itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
103,4.901,3.484,38.887,3.514,1.896,44.024,88.035,15.059,429.097,4.528,1.512,4.31,1.59,15.159,5.002,14.687,2.457,3.325,2.192,0.804,17.056,3.604,5.322,6.315,6.548
104,5.032,3.704,37.316,4.899,1.893,45.675,107.121,18.468,578.99,4.847,1.305,4.773,1.483,22.135,5.795,15.591,2.533,3.678,2.381,0.758,18.598,5.14,6.047,6.068,6.549
105,5.469,3.593,34.635,8.777,1.962,47.519,116.525,21.384,715.098,5.055,1.078,5.507,1.437,33.687,6.526,16.134,3.159,4.165,2.408,0.728,20.281,7.52,6.624,6.078,6.866
106,6.487,3.181,32.451,15.725,2.14,46.592,119.158,24.655,931.459,5.066,0.887,6.332,1.481,56.368,7.274,16.815,4.465,4.643,2.281,0.725,20.578,10.778,6.961,6.351,7.51
107,8.138,2.608,33.972,24.987,2.443,48.789,121.895,29.878,1240.207,4.842,0.761,7.059,1.593,97.572,8.194,18.802,6.339,4.979,2.077,0.741,23.127,14.619,7.001,6.727,8.335
108,10.248,2.061,37.782,34.418,2.832,51.74,132.107,37.884,1705.251,4.422,0.694,7.497,1.718,157.984,9.337,21.599,8.442,5.1,1.903,0.758,25.904,18.4,6.712,7.009,9.088
109,12.264,1.684,42.505,40.952,3.216,56.551,151.986,47.718,2208.965,3.931,0.667,7.629,1.8,228.11,10.523,24.842,10.301,4.987,1.844,0.764,31.559,21.196,6.103,7.107,9.518
110,13.473,1.522,45.57,42.397,3.484,60.389,177.002,56.614,2699.944,3.496,0.656,7.441,1.808,289.835,11.368,27.895,11.568,4.654,1.92,0.762,36.285,22.176,5.26,7.041,9.469
111,13.329,1.534,47.732,38.264,3.566,64.932,196.609,61.18,2957.069,3.223,0.648,7.019,1.74,323.629,11.447,30.833,12.083,4.196,2.087,0.776,41.372,20.992,4.372,6.946,8.957
112,11.841,1.65,49.347,30.544,3.505,71.201,200.404,59.036,2961.083,3.132,0.65,6.487,1.619,316.772,10.518,33.857,11.873,3.726,2.274,0.853,44.904,18.034,3.621,7.025,8.157
113,9.42,1.834,52.793,22.571,3.46,83.443,182.86,50.134,2608.205,3.157,0.677,6.015,1.484,269.538,8.703,37.333,11.054,3.344,2.43,1.029,46.997,14.147,3.132,7.429,7.302
114,6.778,2.087,56.912,17.197,3.632,99.094,159.143,39.653,2053.865,3.209,0.742,5.805,1.377,204.023,6.993,39.677,9.842,3.103,2.546,1.301,46.79,10.335,3.005,8.132,6.56
115,4.489,2.388,59.569,15.422,4.104,114.333,191.315,40.569,1721.831,3.196,0.832,5.957,1.326,173.99,8.082,40.197,8.32,2.973,2.621,1.611,43.948,7.339,3.233,8.918,5.975
116,2.896,2.674,58.124,16.468,4.798,123.231,349.601,67.347,1969.726,3.056,0.913,6.411,1.326,234.298,14.927,36.799,6.549,2.86,2.647,1.867,38.763,5.31,3.65,9.508,5.497
117,2.038,2.848,51.321,18.438,5.475,121.713,652.977,125.781,2987.338,2.77,0.948,6.911,1.355,404.712,28.572,30.711,4.704,2.683,2.605,1.983,31.821,3.94,4.059,9.698,5.073
118,1.791,2.819,40.008,19.725,5.835,111.006,1046.28,206.603,4492.296,2.367,0.913,7.183,1.381,646.337,46.837,22.561,3.063,2.389,2.476,1.919,24.23,2.907,4.274,9.462,4.723
119,1.907,2.555,28.497,19.713,5.684,95.946,1412.811,287.294,6033.697,1.928,0.817,7.071,1.379,879.933,64.701,15.305,1.916,1.988,2.254,1.698,17.343,2.441,4.313,9.022,4.555
120,2.165,2.111,20.113,18.463,5.007,80.743,1636.186,341.745,6936.343,1.536,0.694,6.513,1.333,1020.311,76.368,10.48,1.337,1.544,1.962,1.392,14.066,3.306,4.746,8.964,4.753
121,2.396,1.593,14.949,16.369,3.98,67.507,1636.437,351.001,6988.247,1.24,0.582,5.68,1.248,1016.465,78.008,7.777,1.204,1.14,1.635,1.088,17.625,6.385,6.352,9.949,5.461
122,2.472,1.111,12.515,13.859,2.873,56.161,1416.473,312.756,6119.998,1.052,0.51,4.88,1.148,872.537,69.385,6.953,1.311,0.835,1.311,0.851,28.588,11.89,9.583,12.308,6.69
123,2.416,0.752,11.226,11.334,1.953,47.38,1058.337,241.484,4726.959,0.964,0.485,4.374,1.077,643.132,53.91,6.666,1.504,0.631,1.028,0.703,45.433,18.9,13.961,15.706,8.25
124,2.278,0.542,10.16,9.036,1.355,39.83,679.115,161.724,3173.032,0.956,0.498,4.231,1.059,404.496,36.956,6.709,1.762,0.515,0.807,0.627,62.656,25.406,18.206,19.17,9.755
125,2.113,0.451,9.84,7.156,1.065,34.83,380.715,95.919,1952.621,1.007,0.527,4.302,1.089,219.318,23.299,6.988,2.057,0.488,0.645,0.589,75.235,29.127,20.733,21.473,10.749
126,1.992,0.427,10.434,5.721,0.975,31.089,205.204,55.321,1158.816,1.086,0.557,4.335,1.14,113.617,15.138,7.451,2.315,0.555,0.538,0.569,78.721,28.81,20.514,21.847,10.923
127,1.989,0.434,12.359,4.702,0.961,28.578,131.652,37.336,790.173,1.149,0.583,4.121,1.172,73.358,11.671,7.94,2.451,0.702,0.493,0.567,72.069,24.827,17.596,20.431,10.272
128,2.071,0.45,15.13,3.873,0.946,25.683,105.198,30.914,638.369,1.156,0.601,3.616,1.157,64.361,10.391,8.148,2.392,0.888,0.51,0.583,58.487,18.722,13.055,17.953,9.032
129,2.127,0.47,17.285,3.106,0.909,22.305,84.939,26.11,545.466,1.088,0.606,2.926,1.089,59.432,9.208,7.93,2.125,1.064,0.573,0.606,42.524,12.584,8.52,15.276,7.569
130,2.036,0.5,17.995,2.484,0.874,18.406,64.708,20.539,459.701,0.968,0.595,2.253,0.992,51.287,7.649,7.272,1.712,1.185,0.655,0.622,28.413,7.953,5.443,13.064,6.244
131,1.793,0.548,16.614,2.118,0.895,14.608,47.262,15.031,368.643,0.849,0.565,1.831,0.904,42.337,5.921,6.257,1.279,1.218,0.725,0.612,18.656,5.42,4.421,11.545,5.289
132,1.436,0.618,13.524,2.025,1.011,11.23,35.839,10.586,265.641,0.781,0.522,1.793,0.854,35.121,4.351,5.067,0.96,1.155,0.767,0.567,12.986,4.479,5.044,10.452,4.746
133,1.058,0.702,9.891,2.093,1.221,8.49,31.589,7.831,177.534,0.792,0.475,2.119,0.85,31.115,3.22,3.86,0.846,1.019,0.784,0.492,9.925,4.156,6.258,9.391,4.519
134,0.728,0.783,6.778,2.139,1.466,6.432,33.684,6.741,107.502,0.868,0.438,2.632,0.875,30.335,2.62,2.887,0.967,0.851,0.794,0.41,8.254,3.766,7.084,8.238,4.484
135,0.5,0.836,4.783,2.041,1.661,5.049,38.034,6.703,70.648,0.982,0.418,3.101,0.9,31.331,2.423,2.221,1.281,0.709,0.814,0.353,7.287,3.321,7.191,7.204,4.562
136,0.39,0.842,3.976,1.825,1.73,4.306,40.29,6.896,51.443,1.134,0.413,3.37,0.897,31.659,2.41,1.962,1.698,0.655,0.847,0.345,6.502,2.917,6.56,6.475,4.763
137,0.389,0.804,3.61,1.574,1.644,3.997,38.528,6.772,44.225,1.334,0.415,3.385,0.851,29.445,2.372,1.934,2.107,0.724,0.885,0.391,6.008,2.598,5.466,6.115,5.114
138,0.473,0.749,3.315,1.38,1.439,3.734,33.525,6.095,44.869,1.577,0.422,3.182,0.768,24.562,2.204,2.158,2.394,0.905,0.912,0.471,5.206,2.35,4.306,6.001,5.602
139,0.656,0.71,2.969,1.351,1.197,3.678,28.307,5.012,52.087,1.828,0.435,2.886,0.679,18.503,1.964,2.411,2.482,1.15,0.917,0.555,4.624,2.14,3.484,5.954,6.184
140,0.95,0.707,2.916,1.549,0.999,3.756,25.922,3.945,63.634,2.029,0.464,2.636,0.621,13.611,1.796,2.793,2.372,1.383,0.898,0.611,3.968,1.944,3.177,5.855,6.796
141,1.316,0.735,3.04,1.936,0.884,4.042,27.485,3.268,89.065,2.113,0.508,2.497,0.616,11.543,1.809,3.11,2.115,1.526,0.855,0.621,3.573,1.742,3.279,5.761,7.374
142,1.655,0.768,3.363,2.392,0.837,4.237,31.774,3.105,131.783,2.03,0.558,2.436,0.656,12.508,2.016,3.371,1.791,1.531,0.793,0.59,3.417,1.518,3.539,5.798,7.851
143,1.878,0.775,3.574,2.766,0.811,4.238,36.085,3.325,179.673,1.785,0.593,2.389,0.71,15.256,2.334,3.4,1.504,1.412,0.721,0.533,3.395,1.311,3.746,6.055,8.14
144,1.973,0.742,3.47,2.992,0.768,3.952,37.937,3.669,229.847,1.454,0.596,2.311,0.745,17.836,2.624,3.308,1.366,1.239,0.647,0.475,3.333,1.212,3.821,6.572,8.157
145,2.0,0.679,2.989,3.077,0.706,3.41,36.295,3.925,250.03,1.137,0.563,2.195,0.745,18.833,2.762,3.028,1.445,1.083,0.58,0.433,3.182,1.279,3.757,7.261,7.881
146,2.04,0.606,2.25,3.123,0.64,2.751,32.041,4.044,253.093,0.91,0.507,2.061,0.713,18.177,2.696,2.612,1.745,0.983,0.528,0.412,2.987,1.498,3.56,7.881,7.354
147,2.155,0.54,1.485,3.214,0.59,2.16,26.573,4.022,223.399,0.801,0.451,1.949,0.661,16.247,2.436,2.206,2.21,0.936,0.496,0.404,2.69,1.787,3.248,8.217,6.674
148,2.33,0.489,0.887,3.371,0.561,1.806,21.306,3.857,181.836,0.78,0.416,1.874,0.606,13.793,2.048,1.765,2.739,0.906,0.483,0.4,2.5,2.047,2.895,8.228,5.951
149,2.493,0.454,0.571,3.557,0.545,1.691,17.118,3.564,132.574,0.794,0.411,1.821,0.563,11.597,1.641,1.451,3.19,0.859,0.483,0.391,2.392,2.206,2.616,7.991,5.28
150,2.546,0.438,0.513,3.681,0.526,1.842,15.59,3.345,91.759,0.799,0.432,1.785,0.532,10.671,1.414,1.262,3.419,0.788,0.485,0.376,2.354,2.229,2.499,7.62,4.727
151,2.439,0.447,0.63,3.672,0.49,2.183,21.732,3.849,79.23,0.792,0.459,1.769,0.508,13.202,1.693,1.2,3.34,0.7,0.474,0.359,2.287,2.166,2.552,7.197,4.312
152,2.183,0.481,0.808,3.494,0.44,2.681,40.778,5.82,106.96,0.797,0.475,1.767,0.481,21.398,2.753,1.342,2.96,0.604,0.439,0.343,2.176,2.086,2.688,6.735,4.0
153,1.83,0.531,1.028,3.149,0.394,3.323,73.558,9.49,176.112,0.837,0.467,1.768,0.445,35.948,4.594,1.597,2.377,0.515,0.385,0.33,2.097,2.028,2.795,6.165,3.732
154,1.457,0.573,1.353,2.678,0.366,4.076,114.171,14.232,270.289,0.908,0.437,1.744,0.403,54.155,6.83,1.9,1.738,0.439,0.321,0.319,2.123,1.994,2.81,5.403,3.478
155,1.128,0.581,1.749,2.136,0.359,5.035,150.802,18.672,366.118,0.987,0.394,1.665,0.361,70.672,8.809,2.178,1.18,0.38,0.262,0.309,2.384,1.96,2.831,4.454,3.246
156,0.883,0.548,2.359,1.577,0.367,5.675,171.847,21.227,432.549,1.058,0.353,1.525,0.322,79.91,9.883,2.184,0.781,0.347,0.219,0.298,2.857,1.931,3.011,3.472,3.072
157,0.732,0.495,3.288,1.07,0.384,6.348,182.975,22.619,455.865,1.114,0.323,1.333,0.285,83.521,10.281,2.097,0.558,0.353,0.199,0.283,3.6,1.895,3.393,2.693,3.0
158,0.687,0.462,4.388,0.7,0.402,6.557,226.232,31.61,554.73,1.159,0.31,1.131,0.25,100.469,12.722,1.78,0.491,0.394,0.198,0.265,4.396,1.861,3.965,2.298,3.038
159,0.735,0.475,5.527,0.533,0.419,6.512,361.332,60.286,902.509,1.19,0.317,0.95,0.224,158.876,20.95,1.541,0.539,0.458,0.21,0.247,4.993,1.794,4.603,2.321,3.153
160,0.842,0.53,6.336,0.6,0.433,6.013,615.128,114.443,1597.084,1.192,0.337,0.821,0.213,274.866,36.812,1.412,0.662,0.512,0.224,0.234,5.288,1.706,5.155,2.681,3.275
161,0.983,0.594,6.632,0.908,0.438,5.36,953.037,186.792,2566.072,1.143,0.36,0.75,0.222,435.366,58.186,1.417,0.82,0.529,0.233,0.23,5.044,1.614,5.559,3.25,3.322
162,1.153,0.624,6.519,1.422,0.434,5.005,1280.56,257.682,3560.408,1.033,0.378,0.719,0.253,596.957,79.144,1.529,0.98,0.501,0.237,0.236,4.606,1.515,5.827,3.925,3.254
163,1.345,0.596,6.445,2.051,0.424,5.377,1482.877,303.025,4217.018,0.876,0.386,0.686,0.304,703.997,92.413,1.585,1.128,0.437,0.239,0.259,4.018,1.422,6.004,4.582,3.095
164,1.558,0.518,6.798,2.667,0.409,6.97,1479.535,305.708,4298.22,0.711,0.391,0.626,0.366,716.131,92.873,1.638,1.263,0.356,0.246,0.303,3.917,1.372,6.062,5.095,2.918
165,1.773,0.427,7.754,3.128,0.394,9.272,1269.518,264.573,3749.65,0.592,0.412,0.546,0.438,628.221,80.186,1.646,1.413,0.28,0.268,0.379,4.08,1.383,5.916,5.383,2.806
166,1.936,0.365,9.076,3.331,0.385,11.733,930.863,194.825,2831.468,0.544,0.474,0.463,0.519,471.734,58.965,1.703,1.596,0.226,0.316,0.493,4.585,1.423,5.46,5.432,2.794
167,1.988,0.357,10.382,3.23,0.387,13.616,580.408,119.506,1801.945,0.558,0.591,0.406,0.609,300.05,36.279,1.833,1.784,0.205,0.391,0.641,5.056,1.434,4.673,5.287,2.848
168,1.922,0.404,11.114,2.901,0.405,13.963,314.923,59.091,993.444,0.611,0.751,0.406,0.704,161.476,18.35,2.024,1.928,0.217,0.483,0.801,5.053,1.387,3.677,5.017,2.897
169,1.757,0.481,11.022,2.454,0.434,13.081,174.684,23.398,571.949,0.681,0.917,0.462,0.792,79.538,8.03,2.645,2.003,0.262,0.569,0.939,4.753,1.286,2.697,4.68,2.888
170,1.58,0.55,10.145,2.043,0.463,10.937,135.287,9.637,491.419,0.751,1.04,0.57,0.856,48.404,4.284,3.505,2.02,0.324,0.621,1.02,4.072,1.154,1.953,4.31,2.817
171,1.477,0.579,8.829,1.767,0.478,8.556,137.538,7.61,631.141,0.802,1.078,0.686,0.878,43.643,3.813,5.001,2.015,0.393,0.622,1.02,3.351,1.013,1.528,3.901,2.726
172,1.474,0.559,7.378,1.629,0.474,6.297,134.553,8.293,859.867,0.816,1.015,0.782,0.849,43.633,3.791,6.552,2.006,0.444,0.569,0.937,2.902,0.89,1.376,3.445,2.666
173,1.534,0.505,6.255,1.576,0.459,4.843,117.487,8.791,1051.196,0.787,0.874,0.822,0.777,40.539,3.499,7.906,1.997,0.482,0.484,0.796,2.703,0.813,1.401,2.984,2.665
174,1.588,0.447,5.298,1.558,0.455,3.84,94.368,9.071,1160.848,0.728,0.698,0.804,0.677,35.992,3.035,8.628,1.955,0.525,0.397,0.636,2.848,0.789,1.489,2.619,2.708
