itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
198,0.588,1.24,5.471,0.907,1.243,6.587,1.065,0.87,5.106,1.095,0.627,0.891,0.402,0.931,0.386,4.053,1.398,0.702,0.872,0.303,3.333,0.976,1.051,0.93,0.88
199,0.483,1.328,4.437,0.845,1.281,4.877,1.243,0.997,4.834,0.981,0.704,0.639,0.37,0.859,0.409,2.958,1.335,0.779,0.921,0.293,2.394,0.94,0.836,0.887,0.854
200,0.457,1.339,3.562,0.868,1.245,3.325,1.515,1.086,5.027,0.898,0.781,0.46,0.339,0.868,0.434,2.193,1.273,0.878,0.931,0.291,1.636,0.961,0.684,0.8,0.784
201,0.499,1.291,2.949,0.983,1.144,2.211,1.885,1.117,5.573,0.812,0.844,0.344,0.317,0.93,0.448,1.734,1.222,0.952,0.895,0.295,1.173,1.029,0.585,0.694,0.694
202,0.6,1.214,2.581,1.17,1.01,1.634,2.292,1.082,6.089,0.715,0.884,0.279,0.311,0.988,0.449,1.492,1.177,0.992,0.829,0.307,0.951,1.14,0.556,0.62,0.616
203,0.744,1.134,2.395,1.39,0.882,1.533,2.614,0.991,6.32,0.628,0.899,0.256,0.327,0.979,0.441,1.318,1.142,1.019,0.763,0.328,0.953,1.299,0.628,0.619,0.575
204,0.906,1.061,2.469,1.593,0.784,1.797,2.757,0.87,5.895,0.572,0.893,0.267,0.362,0.896,0.433,1.323,1.118,1.055,0.719,0.353,1.104,1.484,0.792,0.7,0.574
205,1.08,0.983,2.815,1.751,0.713,2.36,2.712,0.75,5.044,0.554,0.87,0.3,0.408,0.768,0.428,1.46,1.111,1.094,0.699,0.373,1.377,1.664,1.004,0.828,0.597
206,1.26,0.883,3.442,1.856,0.653,3.142,2.545,0.659,3.849,0.567,0.833,0.352,0.451,0.645,0.426,1.803,1.144,1.114,0.687,0.384,1.77,1.787,1.191,0.947,0.618
207,1.425,0.766,4.143,1.884,0.596,3.934,2.339,0.617,2.689,0.589,0.788,0.414,0.477,0.557,0.425,2.255,1.266,1.092,0.663,0.389,2.144,1.809,1.269,1.011,0.615
208,1.572,0.666,4.68,1.834,0.55,4.542,2.151,0.629,1.735,0.602,0.747,0.488,0.48,0.517,0.425,2.81,1.533,1.046,0.618,0.402,2.391,1.721,1.222,1.013,0.59
209,1.687,0.621,4.887,1.712,0.535,4.853,2.0,0.694,1.055,0.593,0.724,0.575,0.468,0.52,0.427,3.464,1.948,1.023,0.563,0.439,2.47,1.537,1.1,0.984,0.561
210,1.749,0.646,4.723,1.524,0.564,4.846,1.862,0.802,0.658,0.556,0.734,0.663,0.455,0.544,0.431,4.138,2.431,1.064,0.526,0.508,2.384,1.294,0.989,0.974,0.561
211,1.733,0.722,4.332,1.291,0.628,4.607,1.705,0.933,0.504,0.494,0.776,0.74,0.457,0.574,0.434,4.708,2.847,1.17,0.532,0.599,2.241,1.045,0.977,1.012,0.61
212,1.619,0.806,3.862,1.044,0.704,4.256,1.515,1.054,0.512,0.426,0.833,0.792,0.48,0.603,0.428,4.984,3.049,1.307,0.585,0.686,2.117,0.829,1.09,1.091,0.702
213,1.415,0.857,3.427,0.829,0.76,3.93,1.297,1.122,0.642,0.37,0.878,0.804,0.516,0.63,0.405,4.859,2.949,1.412,0.664,0.738,2.079,0.67,1.297,1.163,0.806
214,1.151,0.853,3.088,0.683,0.774,3.7,1.07,1.107,0.854,0.331,0.883,0.775,0.546,0.646,0.367,4.289,2.569,1.416,0.727,0.736,2.13,0.586,1.519,1.173,0.882
215,0.883,0.809,2.83,0.626,0.743,3.557,0.86,1.003,1.122,0.316,0.835,0.712,0.553,0.632,0.32,3.521,2.037,1.287,0.745,0.678,2.25,0.586,1.672,1.104,0.903
216,0.675,0.76,2.652,0.65,0.682,3.448,0.684,0.833,1.396,0.332,0.747,0.628,0.535,0.574,0.28,2.716,1.526,1.058,0.713,0.586,2.41,0.671,1.69,0.989,0.867
217,0.576,0.742,2.576,0.721,0.615,3.278,0.556,0.638,1.611,0.38,0.643,0.538,0.501,0.475,0.257,2.316,1.181,0.808,0.648,0.492,2.56,0.823,1.566,0.896,0.788
218,0.601,0.773,2.621,0.811,0.557,3.062,0.494,0.462,1.769,0.459,0.553,0.453,0.465,0.365,0.253,2.321,1.05,0.604,0.582,0.421,2.788,0.996,1.343,0.875,0.693
219,0.759,0.861,2.765,0.916,0.519,2.79,0.505,0.346,1.904,0.556,0.494,0.381,0.441,0.284,0.263,2.841,1.071,0.477,0.546,0.382,2.875,1.138,1.088,0.934,0.61
220,1.104,1.009,3.073,1.05,0.511,2.611,0.59,0.311,2.047,0.683,0.47,0.327,0.432,0.257,0.277,3.526,1.118,0.422,0.561,0.37,3.009,1.202,0.868,1.041,0.554
221,1.702,1.218,3.83,1.24,0.54,2.688,0.737,0.357,2.245,0.88,0.471,0.306,0.434,0.289,0.286,4.106,1.085,0.425,0.641,0.373,2.833,1.165,0.728,1.142,0.531
222,2.546,1.486,5.293,1.484,0.615,3.201,0.924,0.468,2.471,1.17,0.484,0.345,0.441,0.36,0.289,4.471,0.958,0.487,0.778,0.386,2.559,1.037,0.709,1.203,0.534
223,3.524,1.802,7.381,1.742,0.735,4.134,1.12,0.625,2.692,1.544,0.497,0.458,0.447,0.452,0.293,4.507,0.796,0.61,0.947,0.408,2.172,0.854,0.827,1.22,0.554
