itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1545,3.355,0.566,5.266,4.59,0.507,3.988,1.022,0.667,1.073,2.939,0.42,3.976,0.491,0.769,0.552,1.417,0.828,0.836,0.33,0.422,2.086,5.973,4.036,0.619,0.955
1546,2.849,0.515,4.698,4.524,0.513,3.83,0.886,0.626,0.767,2.627,0.401,4.035,0.48,0.579,0.589,1.431,1.015,0.662,0.315,0.419,1.925,6.137,4.087,0.609,1.018
1547,2.891,0.464,5.752,4.67,0.512,4.816,0.84,0.565,0.719,2.292,0.363,3.907,0.451,0.437,0.604,1.539,1.295,0.59,0.306,0.408,1.781,5.893,3.843,0.611,1.061
1548,4.258,0.425,14.727,5.331,0.498,10.779,0.813,0.498,0.852,1.935,0.322,3.527,0.416,0.338,0.598,1.665,1.561,0.577,0.313,0.4,1.674,5.395,3.343,0.619,1.085
1549,8.112,0.426,42.178,7.152,0.486,28.357,0.766,0.454,1.066,1.744,0.296,3.001,0.393,0.287,0.584,1.761,1.722,0.601,0.344,0.402,1.631,4.839,2.729,0.648,1.081
1550,14.928,0.493,94.129,10.563,0.5,61.318,0.691,0.46,1.319,1.885,0.295,2.504,0.39,0.288,0.578,1.84,1.734,0.665,0.4,0.413,1.628,4.334,2.154,0.721,1.038
1551,23.715,0.628,165.385,15.21,0.556,106.473,0.603,0.54,1.583,2.368,0.314,2.177,0.407,0.353,0.592,1.921,1.619,0.796,0.477,0.428,1.658,3.894,1.756,0.834,0.952
1552,32.197,0.804,239.077,19.967,0.65,153.381,0.52,0.689,1.81,3.035,0.339,2.077,0.432,0.488,0.625,2.017,1.441,1.027,0.567,0.437,1.72,3.462,1.628,0.958,0.828
1553,37.652,0.976,292.357,23.275,0.755,187.622,0.473,0.882,1.958,3.611,0.356,2.147,0.45,0.673,0.665,2.068,1.266,1.361,0.67,0.434,1.818,2.967,1.785,1.056,0.689
1554,38.13,1.096,306.715,23.862,0.835,197.358,0.497,1.068,2.006,3.87,0.356,2.28,0.455,0.862,0.694,2.009,1.143,1.755,0.783,0.418,1.932,2.422,2.172,1.099,0.563
1555,33.501,1.133,276.982,21.457,0.862,179.01,0.602,1.202,2.054,3.738,0.344,2.39,0.447,0.996,0.701,1.853,1.107,2.112,0.898,0.394,2.067,1.931,2.696,1.073,0.474
1556,25.394,1.083,213.975,16.83,0.828,139.297,0.759,1.249,2.203,3.288,0.333,2.422,0.436,1.032,0.686,1.688,1.16,2.32,1.002,0.372,2.261,1.565,3.2,0.983,0.433
1557,16.57,0.979,139.583,11.559,0.754,91.905,0.921,1.197,2.468,2.687,0.345,2.346,0.438,0.968,0.662,1.658,1.31,2.314,1.075,0.361,2.524,1.353,3.509,0.857,0.434
1558,9.479,0.862,74.526,7.193,0.675,50.142,1.039,1.063,2.763,2.093,0.395,2.149,0.463,0.837,0.645,1.891,1.578,2.093,1.101,0.368,2.854,1.303,3.487,0.738,0.465
1559,5.286,0.765,32.185,4.553,0.624,22.755,1.091,0.885,2.972,1.596,0.487,1.851,0.513,0.687,0.642,2.422,1.951,1.724,1.068,0.39,3.199,1.366,3.108,0.659,0.506
1560,3.744,0.698,13.415,3.545,0.604,10.51,1.089,0.717,2.99,1.229,0.602,1.506,0.577,0.566,0.648,3.155,2.346,1.324,0.979,0.419,3.498,1.437,2.473,0.635,0.544
1561,3.687,0.659,9.852,3.44,0.607,8.14,1.053,0.608,2.768,0.992,0.713,1.203,0.638,0.5,0.648,3.899,2.639,1.012,0.852,0.445,3.632,1.436,1.786,0.674,0.568
1562,4.049,0.651,11.356,3.528,0.622,9.156,1.016,0.587,2.318,0.896,0.788,1.032,0.675,0.494,0.628,4.437,2.732,0.855,0.718,0.458,3.56,1.355,1.255,0.783,0.579
1563,4.592,0.682,12.878,3.628,0.641,10.027,1.009,0.659,1.735,0.949,0.807,1.018,0.676,0.536,0.588,4.674,2.62,0.844,0.606,0.451,3.288,1.246,0.989,0.961,0.582
1564,5.105,0.76,13.322,3.765,0.667,9.978,1.043,0.804,1.202,1.105,0.769,1.132,0.639,0.608,0.539,4.623,2.378,0.915,0.537,0.429,2.883,1.183,0.983,1.19,0.594
1565,5.391,0.873,12.823,3.947,0.701,9.251,1.112,0.975,0.875,1.287,0.693,1.303,0.584,0.708,0.503,4.423,2.125,1.01,0.516,0.406,2.443,1.214,1.152,1.423,0.628
1566,5.367,0.99,11.513,4.186,0.739,8.074,1.182,1.115,0.737,1.451,0.613,1.485,0.544,0.834,0.503,4.154,1.958,1.091,0.542,0.398,2.084,1.348,1.41,1.607,0.687
1567,5.129,1.078,10.086,4.53,0.779,6.993,1.219,1.181,0.751,1.611,0.564,1.677,0.552,0.979,0.547,3.859,1.991,1.16,0.606,0.416,1.877,1.604,1.707,1.711,0.76
1568,4.918,1.12,8.879,5.09,0.816,6.264,1.218,1.16,0.811,1.821,0.56,1.904,0.619,1.136,0.624,3.544,2.406,1.262,0.696,0.456,1.852,2.065,2.034,1.734,0.821
1569,4.952,1.123,8.412,5.98,0.853,6.218,1.215,1.074,0.847,2.134,0.591,2.171,0.722,1.276,0.706,3.14,3.351,1.427,0.804,0.504,2.045,2.87,2.349,1.699,0.847
1570,5.307,1.112,8.425,7.18,0.893,6.801,1.268,0.973,0.939,2.56,0.637,2.452,0.827,1.372,0.765,2.789,4.845,1.622,0.923,0.542,2.427,4.066,2.564,1.637,0.827
1571,5.904,1.109,9.0,8.477,0.94,7.83,1.415,0.903,1.071,2.99,0.676,2.657,0.897,1.408,0.792,2.394,6.659,1.781,1.045,0.561,2.969,5.496,2.582,1.572,0.771
1572,6.467,1.114,9.547,9.505,0.985,9.123,1.645,0.885,1.217,3.273,0.698,2.696,0.914,1.381,0.793,2.216,8.348,1.821,1.15,0.566,3.621,6.806,2.351,1.506,0.704
