itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
806,3.549,0.654,6.504,3.031,1.071,7.325,2.103,0.453,4.493,1.944,0.725,1.757,0.975,0.986,0.677,5.717,1.937,1.331,0.773,0.709,6.241,2.801,1.986,0.669,0.986
807,3.676,0.595,5.266,3.142,1.054,6.198,2.094,0.409,4.345,2.423,0.674,2.108,0.963,0.987,0.612,5.702,1.957,1.295,0.764,0.651,6.374,2.938,2.404,0.665,0.991
808,3.58,0.619,5.175,3.098,1.133,6.309,1.935,0.425,4.572,3.02,0.64,2.592,0.97,1.039,0.556,6.385,1.849,1.259,0.757,0.616,6.758,2.911,2.816,0.648,1.007
809,3.323,0.708,5.884,2.929,1.283,7.288,1.676,0.51,4.825,3.48,0.614,2.976,0.989,1.078,0.508,7.3,1.626,1.178,0.757,0.586,7.295,2.795,3.04,0.638,1.001
810,3.021,0.836,7.023,2.7,1.452,8.622,1.39,0.648,5.054,3.638,0.601,3.096,1.023,1.08,0.476,8.165,1.344,1.047,0.777,0.556,8.015,2.679,2.979,0.666,0.961
811,2.76,0.985,8.048,2.473,1.59,9.646,1.147,0.807,4.946,3.488,0.616,2.94,1.081,1.064,0.47,8.523,1.083,0.907,0.831,0.535,8.606,2.634,2.663,0.755,0.902
812,2.583,1.128,8.674,2.259,1.656,10.075,0.987,0.959,4.73,3.175,0.669,2.654,1.153,1.065,0.493,8.473,0.91,0.82,0.928,0.537,9.164,2.649,2.237,0.909,0.846
813,2.498,1.233,8.587,2.048,1.631,9.691,0.922,1.072,4.319,2.924,0.748,2.46,1.212,1.12,0.538,7.957,0.868,0.855,1.061,0.567,9.389,2.645,1.87,1.098,0.811
814,2.574,1.283,8.121,1.928,1.517,8.96,1.006,1.13,4.033,2.893,0.832,2.515,1.225,1.258,0.586,7.417,1.068,1.04,1.197,0.622,9.498,2.671,1.706,1.268,0.798
815,2.917,1.286,7.934,2.098,1.338,8.629,1.36,1.125,4.207,3.124,0.899,2.862,1.181,1.524,0.624,7.347,1.674,1.407,1.298,0.685,9.826,2.937,1.866,1.361,0.799
816,3.655,1.271,9.061,2.776,1.146,9.594,2.062,1.067,5.157,3.516,0.945,3.408,1.101,1.933,0.639,8.165,2.762,1.957,1.334,0.737,10.842,3.65,2.322,1.351,0.801
817,4.799,1.28,12.152,3.99,0.997,12.303,3.057,0.977,6.801,3.877,0.981,3.947,1.025,2.43,0.632,9.817,4.22,2.597,1.299,0.762,12.652,4.793,2.915,1.25,0.797
818,6.161,1.347,17.414,5.507,0.953,16.663,4.106,0.89,8.892,4.042,1.022,4.28,0.984,2.904,0.613,12.2,5.715,3.178,1.22,0.76,14.737,6.097,3.448,1.13,0.788
819,7.399,1.478,23.724,6.943,1.045,21.562,4.895,0.842,10.638,3.926,1.07,4.279,0.982,3.21,0.599,14.35,6.835,3.544,1.138,0.742,16.321,7.152,3.756,1.087,0.781
820,8.188,1.63,29.691,7.925,1.242,25.941,5.196,0.847,11.913,3.638,1.111,4.017,0.999,3.254,0.603,16.244,7.284,3.637,1.094,0.732,16.787,7.602,3.816,1.18,0.783
821,8.285,1.742,33.12,8.192,1.475,27.926,4.912,0.891,11.713,3.306,1.124,3.628,1.006,2.994,0.627,16.212,6.951,3.496,1.108,0.747,15.36,7.272,3.686,1.384,0.798
822,7.779,1.785,33.01,7.792,1.67,27.142,4.186,0.943,10.605,3.02,1.099,3.272,0.986,2.507,0.659,14.985,6.037,3.297,1.18,0.789,12.782,6.318,3.496,1.616,0.824
823,6.935,1.773,31.382,7.007,1.78,23.966,3.291,0.979,8.551,2.891,1.049,3.08,0.945,1.932,0.68,12.185,4.885,3.206,1.286,0.841,9.437,5.115,3.351,1.776,0.857
824,6.382,1.751,35.224,6.326,1.79,20.861,2.552,0.993,6.439,3.086,1.006,3.186,0.91,1.464,0.677,9.026,3.871,3.364,1.384,0.877,6.48,4.134,3.316,1.789,0.887
825,6.684,1.758,51.386,6.185,1.729,20.414,2.2,0.992,4.598,3.682,1.004,3.633,0.914,1.217,0.645,5.984,3.262,3.738,1.44,0.871,4.259,3.68,3.389,1.653,0.904
