itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
31,3.82,0.972,7.549,4.314,0.804,5.346,1.829,1.697,0.712,0.726,0.444,1.183,0.315,0.678,1.009,1.414,2.493,0.64,0.46,0.278,1.258,3.769,2.324,1.237,1.335
32,4.233,1.101,18.04,4.839,0.803,12.621,1.757,1.64,0.984,0.721,0.47,1.241,0.298,0.657,1.081,1.318,2.375,0.653,0.452,0.264,1.466,3.764,2.353,1.242,1.324
33,5.096,1.227,34.909,5.819,0.765,24.28,1.578,1.584,1.323,0.768,0.522,1.344,0.292,0.613,1.173,1.308,2.058,0.623,0.434,0.257,1.532,3.598,2.349,1.231,1.307
34,6.189,1.337,54.881,6.963,0.713,37.959,1.347,1.543,1.653,0.859,0.59,1.486,0.302,0.581,1.274,1.42,1.653,0.578,0.414,0.261,1.506,3.315,2.257,1.229,1.316
35,7.201,1.417,72.909,7.885,0.68,50.263,1.152,1.508,1.912,0.969,0.656,1.649,0.324,0.587,1.362,1.692,1.328,0.566,0.398,0.272,1.427,3.031,2.054,1.266,1.38
36,7.797,1.456,82.757,8.231,0.688,56.955,1.061,1.457,2.048,1.069,0.703,1.803,0.353,0.644,1.416,2.104,1.214,0.627,0.388,0.287,1.534,2.869,1.757,1.356,1.515
37,7.732,1.446,81.371,7.807,0.736,56.011,1.081,1.381,2.05,1.136,0.72,1.913,0.383,0.744,1.417,2.591,1.323,0.761,0.378,0.297,1.884,2.878,1.428,1.489,1.707
38,6.967,1.383,68.97,6.669,0.798,47.539,1.156,1.287,1.946,1.153,0.706,1.942,0.405,0.86,1.363,3.027,1.556,0.934,0.364,0.299,2.519,3.006,1.148,1.64,1.91
39,5.643,1.282,50.047,5.071,0.846,34.689,1.195,1.195,1.784,1.112,0.666,1.856,0.414,0.947,1.264,3.306,1.772,1.073,0.347,0.297,3.259,3.133,0.982,1.768,2.059
40,4.126,1.182,30.649,3.49,0.877,21.678,1.135,1.145,1.612,1.055,0.61,1.684,0.408,0.978,1.139,3.368,1.873,1.124,0.344,0.296,3.978,3.213,0.98,1.842,2.1
