itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
66,1.722,0.464,5.907,1.725,1.021,6.136,2.821,1.035,15.093,0.526,0.513,2.1,0.763,1.42,0.882,0.778,0.731,1.094,0.337,0.465,3.511,2.454,1.054,1.013,0.418
67,2.001,0.551,6.812,1.584,1.087,5.347,2.345,0.944,16.101,0.638,0.562,2.074,0.759,1.232,0.9,0.834,0.897,1.114,0.403,0.378,3.331,2.275,0.862,1.104,0.408
68,2.266,0.651,7.421,1.468,1.097,4.871,2.177,0.83,18.363,0.802,0.606,1.897,0.709,1.19,0.908,0.944,1.128,1.106,0.477,0.319,3.43,2.013,0.744,1.198,0.411
69,2.377,0.745,7.501,1.393,1.075,4.739,2.29,0.728,21.158,0.984,0.639,1.665,0.627,1.231,0.901,1.097,1.438,1.076,0.546,0.293,3.674,1.729,0.721,1.272,0.426
70,2.278,0.816,7.005,1.355,1.053,4.716,2.558,0.672,23.752,1.142,0.657,1.459,0.539,1.285,0.877,1.238,1.818,1.03,0.599,0.3,3.866,1.458,0.78,1.318,0.453
71,2.022,0.858,6.075,1.358,1.053,4.548,2.858,0.69,24.713,1.254,0.662,1.322,0.47,1.287,0.843,1.317,2.224,0.971,0.628,0.336,3.812,1.198,0.863,1.337,0.496
72,1.739,0.873,5.007,1.391,1.084,4.155,3.116,0.779,23.226,1.321,0.665,1.248,0.436,1.216,0.812,1.359,2.571,0.9,0.633,0.393,3.474,0.959,0.924,1.334,0.564
73,1.565,0.865,4.058,1.463,1.13,3.576,3.416,0.908,19.707,1.363,0.672,1.203,0.437,1.105,0.797,1.439,2.768,0.825,0.621,0.458,2.932,0.76,0.949,1.313,0.653
74,1.573,0.839,3.351,1.577,1.168,3.019,3.784,1.026,15.504,1.41,0.686,1.181,0.456,1.004,0.803,1.624,2.755,0.75,0.604,0.514,2.342,0.616,0.938,1.272,0.75
75,1.718,0.797,2.864,1.696,1.182,2.76,4.191,1.097,12.257,1.468,0.699,1.206,0.475,0.951,0.829,1.895,2.53,0.691,0.589,0.545,1.901,0.55,0.906,1.199,0.829
76,1.866,0.743,2.476,1.774,1.152,2.89,4.558,1.125,10.738,1.528,0.699,1.296,0.479,0.936,0.865,2.149,2.156,0.664,0.574,0.54,1.771,0.585,0.884,1.083,0.863
77,1.906,0.68,2.147,1.778,1.078,3.349,4.906,1.142,11.121,1.55,0.679,1.423,0.467,0.907,0.896,2.258,1.752,0.669,0.554,0.5,1.949,0.702,0.897,0.935,0.839
78,1.869,0.615,1.997,1.766,0.971,4.028,5.414,1.189,12.42,1.492,0.634,1.554,0.452,0.854,0.912,2.177,1.448,0.692,0.529,0.438,2.349,0.873,0.952,0.784,0.765
79,1.936,0.559,2.175,1.906,0.855,4.837,6.291,1.28,13.32,1.366,0.567,1.694,0.451,0.799,0.907,1.969,1.334,0.71,0.504,0.373,2.805,1.099,1.029,0.664,0.669
80,2.321,0.519,2.767,2.391,0.757,5.696,7.503,1.39,13.18,1.198,0.491,1.857,0.48,0.786,0.878,1.792,1.418,0.71,0.492,0.321,3.217,1.394,1.116,0.593,0.579
81,3.112,0.498,3.707,3.279,0.701,6.492,8.83,1.465,12.182,1.061,0.42,2.082,0.542,0.848,0.833,1.757,1.632,0.699,0.5,0.291,3.531,1.758,1.201,0.572,0.512
82,4.168,0.492,4.728,4.417,0.692,7.085,9.836,1.458,11.241,1.055,0.366,2.429,0.623,0.993,0.787,1.89,1.865,0.698,0.538,0.278,3.715,2.171,1.283,0.603,0.47
83,5.172,0.493,5.51,5.461,0.716,7.31,10.153,1.359,11.2,1.222,0.333,2.902,0.7,1.162,0.762,2.107,2.003,0.727,0.61,0.274,3.735,2.589,1.367,0.682,0.44
84,5.788,0.497,5.822,6.045,0.742,7.035,9.624,1.208,12.134,1.536,0.316,3.432,0.748,1.273,0.774,2.299,1.976,0.788,0.719,0.272,3.583,2.977,1.456,0.801,0.409
85,5.834,0.495,5.723,5.966,0.743,6.324,8.444,1.075,13.554,1.904,0.312,3.877,0.753,1.259,0.821,2.415,1.777,0.849,0.856,0.269,3.279,3.302,1.533,0.94,0.37
86,5.387,0.486,5.913,5.283,0.723,5.607,7.047,1.031,14.548,2.232,0.313,4.081,0.716,1.127,0.882,2.494,1.464,0.876,1.001,0.27,2.877,3.539,1.569,1.075,0.334
87,4.79,0.473,7.789,4.341,0.704,5.657,5.952,1.101,14.174,2.497,0.316,3.994,0.65,0.973,0.926,2.605,1.151,0.863,1.123,0.28,2.493,3.691,1.557,1.183,0.313
88,4.45,0.462,12.76,3.565,0.708,7.225,5.394,1.256,12.847,2.711,0.314,3.7,0.583,0.909,0.928,2.859,0.95,0.871,1.188,0.299,2.303,3.773,1.505,1.241,0.316
89,4.585,0.46,20.985,3.221,0.742,10.483,5.391,1.428,11.494,2.913,0.306,3.361,0.54,1.018,0.884,3.303,0.931,0.99,1.175,0.323,2.432,3.781,1.418,1.234,0.339
90,5.068,0.468,30.751,3.259,0.786,14.635,5.755,1.546,11.238,3.103,0.292,3.1,0.533,1.312,0.811,3.884,1.11,1.277,1.083,0.346,2.885,3.671,1.299,1.16,0.372
91,5.539,0.484,39.37,3.4,0.82,18.447,6.258,1.57,12.582,3.225,0.279,2.973,0.558,1.716,0.734,4.471,1.444,1.703,0.937,0.362,3.54,3.399,1.164,1.039,0.404
92,5.64,0.509,43.996,3.337,0.827,20.691,6.731,1.511,15.034,3.191,0.272,2.917,0.598,2.109,0.679,4.91,1.821,2.135,0.777,0.368,4.175,2.952,1.018,0.904,0.428
