itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
664,4.715,2.152,7.204,4.087,2.005,8.151,1.141,1.119,1.199,1.917,0.948,1.401,0.719,0.873,0.787,4.331,1.272,3.075,2.14,0.685,2.998,4.278,4.013,3.444,1.698
665,4.361,2.129,5.811,4.079,1.922,7.181,1.061,1.115,1.298,1.922,0.905,1.218,0.698,0.949,0.893,4.527,1.381,3.337,2.153,0.712,3.143,5.685,4.527,3.329,1.622
666,3.818,2.077,4.202,3.984,1.763,5.732,0.962,1.159,1.319,2.071,0.85,1.137,0.681,1.01,0.967,4.353,1.482,3.395,2.053,0.738,3.102,6.794,4.701,3.056,1.489
667,3.278,2.072,2.793,3.87,1.588,4.233,0.925,1.286,1.309,2.407,0.793,1.256,0.666,1.097,0.989,3.836,1.61,3.351,1.877,0.746,2.889,7.273,4.544,2.725,1.325
668,2.87,2.142,1.866,3.759,1.438,3.059,0.996,1.49,1.348,2.873,0.746,1.585,0.651,1.238,0.958,3.133,1.784,3.312,1.671,0.724,2.604,7.004,4.198,2.413,1.16
669,2.601,2.252,1.488,3.595,1.323,2.377,1.153,1.712,1.542,3.318,0.719,2.018,0.631,1.419,0.886,2.416,1.976,3.319,1.469,0.67,2.32,6.081,3.805,2.146,1.022
670,2.407,2.315,1.507,3.313,1.228,2.141,1.321,1.858,1.794,3.587,0.714,2.387,0.601,1.585,0.797,1.818,2.136,3.331,1.282,0.594,2.161,4.787,3.447,1.907,0.933
671,2.211,2.246,1.687,2.889,1.126,2.114,1.414,1.856,2.021,3.624,0.73,2.577,0.56,1.689,0.711,1.412,2.218,3.269,1.104,0.513,2.044,3.451,3.133,1.669,0.909
672,1.975,2.011,1.934,2.364,1.001,2.162,1.386,1.702,2.077,3.497,0.767,2.583,0.51,1.714,0.644,1.203,2.183,3.07,0.923,0.448,2.001,2.312,2.857,1.432,0.943
673,1.697,1.649,2.144,1.8,0.852,2.108,1.261,1.458,1.952,3.316,0.819,2.47,0.458,1.69,0.597,1.119,2.021,2.744,0.74,0.414,1.993,1.49,2.604,1.226,1.011
674,1.402,1.25,2.321,1.275,0.697,1.98,1.107,1.216,1.768,3.16,0.878,2.328,0.414,1.672,0.572,1.116,1.759,2.406,0.575,0.412,2.058,0.989,2.376,1.094,1.08
675,1.151,0.923,2.504,0.892,0.564,1.873,1.002,1.049,1.724,3.037,0.929,2.211,0.386,1.695,0.569,1.182,1.477,2.185,0.456,0.436,2.195,0.756,2.19,1.059,1.127
676,1.034,0.741,2.706,0.75,0.479,1.888,0.995,0.983,1.905,2.903,0.958,2.122,0.381,1.748,0.586,1.36,1.262,2.117,0.399,0.471,2.374,0.729,2.04,1.095,1.139
677,1.11,0.721,2.895,0.874,0.461,2.069,1.073,1.011,2.238,2.675,0.955,2.009,0.397,1.785,0.613,1.647,1.172,2.128,0.399,0.499,2.517,0.864,1.877,1.149,1.113
678,1.378,0.827,3.024,1.206,0.515,2.381,1.187,1.112,2.562,2.291,0.922,1.802,0.431,1.757,0.64,2.027,1.214,2.096,0.446,0.515,2.559,1.112,1.66,1.178,1.063
679,1.824,1.009,3.052,1.657,0.633,2.754,1.298,1.271,2.691,1.796,0.876,1.482,0.477,1.643,0.656,2.408,1.353,1.947,0.528,0.527,2.394,1.425,1.395,1.172,1.011
680,2.429,1.22,2.986,2.159,0.797,3.085,1.428,1.474,2.609,1.327,0.84,1.116,0.534,1.475,0.657,2.769,1.542,1.697,0.64,0.548,2.098,1.76,1.141,1.165,0.976
681,3.125,1.409,2.856,2.637,0.968,3.283,1.616,1.684,2.555,1.037,0.833,0.813,0.6,1.311,0.648,3.157,1.752,1.426,0.767,0.587,1.688,2.078,0.991,1.198,0.965
682,3.751,1.533,2.738,2.982,1.1,3.331,1.86,1.838,2.766,0.97,0.856,0.638,0.667,1.199,0.635,3.614,1.924,1.206,0.882,0.639,1.395,2.316,0.987,1.287,0.969
683,4.107,1.561,2.746,3.087,1.157,3.33,2.09,1.868,3.338,1.062,0.895,0.597,0.728,1.16,0.618,4.107,1.987,1.084,0.953,0.686,1.27,2.391,1.092,1.41,0.981
684,4.065,1.49,3.004,2.941,1.135,3.518,2.211,1.741,4.142,1.198,0.94,0.647,0.783,1.168,0.606,4.564,1.891,1.043,0.956,0.714,1.423,2.247,1.203,1.521,1.003
685,3.624,1.347,3.542,2.608,1.056,4.053,2.157,1.485,4.861,1.276,0.991,0.729,0.839,1.191,0.611,4.914,1.651,1.051,0.891,0.721,1.796,1.899,1.239,1.579,1.049
686,2.913,1.173,4.251,2.187,0.958,4.918,1.921,1.173,5.146,1.269,1.056,0.817,0.907,1.215,0.641,5.065,1.325,1.073,0.78,0.727,2.283,1.428,1.173,1.579,1.136
687,2.136,1.007,4.907,1.778,0.882,5.855,1.569,0.891,4.794,1.212,1.132,0.919,0.995,1.247,0.692,4.944,0.991,1.089,0.661,0.752,2.728,0.96,1.045,1.554,1.269
688,1.463,0.872,5.216,1.43,0.854,6.449,1.206,0.7,4.009,1.156,1.206,1.045,1.099,1.292,0.751,4.531,0.724,1.093,0.575,0.81,2.98,0.605,0.915,1.545,1.44
689,0.982,0.778,4.997,1.146,0.878,6.392,0.938,0.617,3.097,1.134,1.253,1.187,1.198,1.35,0.807,3.856,0.574,1.086,0.545,0.899,3.007,0.409,0.848,1.579,1.634
690,0.694,0.724,4.256,0.915,0.941,5.587,0.809,0.624,2.387,1.138,1.252,1.309,1.268,1.403,0.847,3.019,0.543,1.064,0.57,0.998,2.825,0.36,0.873,1.649,1.827
691,0.55,0.708,3.186,0.742,1.025,4.285,0.79,0.685,2.0,1.126,1.194,1.366,1.283,1.419,0.86,2.143,0.609,1.02,0.627,1.083,2.548,0.433,0.987,1.72,1.986
692,0.508,0.736,2.115,0.646,1.124,2.893,0.824,0.773,1.878,1.08,1.092,1.345,1.236,1.373,0.841,1.428,0.741,0.96,0.689,1.13,2.283,0.623,1.207,1.761,2.078
693,0.525,0.828,1.306,0.633,1.257,1.808,0.863,0.877,1.829,1.046,0.973,1.31,1.138,1.275,0.797,0.936,0.897,0.935,0.758,1.134,2.073,0.903,1.597,1.783,2.079
694,0.58,0.993,0.907,0.704,1.442,1.223,0.886,0.995,1.767,1.124,0.868,1.381,1.02,1.174,0.742,0.704,1.044,1.034,0.854,1.099,1.897,1.229,2.249,1.82,1.982
695,0.647,1.22,0.913,0.832,1.666,1.119,0.877,1.116,1.761,1.394,0.794,1.657,0.912,1.129,0.687,0.695,1.147,1.311,0.982,1.041,1.753,1.525,3.186,1.914,1.801
696,0.704,1.473,1.183,0.971,1.891,1.3,0.839,1.227,1.915,1.864,0.76,2.155,0.839,1.182,0.639,0.896,1.21,1.747,1.138,0.979,1.699,1.706,4.277,2.083,1.566
697,0.741,1.699,1.538,1.074,2.049,1.552,0.79,1.313,2.242,2.433,0.768,2.775,0.813,1.324,0.607,1.279,1.258,2.237,1.296,0.935,1.837,1.715,5.244,2.3,1.324
698,0.757,1.832,1.826,1.105,2.069,1.733,0.733,1.36,2.634,2.935,0.822,3.331,0.826,1.492,0.595,1.801,1.29,2.631,1.414,0.925,2.159,1.536,5.766,2.485,1.127
699,0.77,1.834,1.992,1.079,1.917,1.842,0.682,1.366,2.925,3.241,0.912,3.667,0.857,1.616,0.602,2.457,1.321,2.815,1.451,0.948,2.597,1.238,5.664,2.554,1.011
700,0.779,1.701,2.092,1.03,1.623,1.972,0.658,1.348,3.036,3.328,1.015,3.733,0.875,1.662,0.621,3.252,1.365,2.771,1.392,0.988,3.044,0.923,5.016,2.458,0.976
701,0.785,1.466,2.241,0.996,1.27,2.231,0.679,1.336,3.014,3.272,1.093,3.594,0.858,1.647,0.641,4.17,1.427,2.567,1.252,1.023,3.388,0.688,4.112,2.22,0.988
702,0.781,1.189,2.545,0.99,0.968,2.67,0.745,1.365,3.001,3.191,1.114,3.365,0.798,1.61,0.651,5.135,1.492,2.311,1.082,1.03,3.567,0.568,3.312,1.926,1.003
703,0.773,0.942,2.993,0.997,0.797,3.217,0.85,1.454,3.1,3.171,1.07,3.15,0.707,1.589,0.647,6.015,1.571,2.103,0.941,1.008,3.589,0.539,2.87,1.684,0.99
704,0.825,0.777,3.463,1.024,0.77,3.699,0.981,1.592,3.257,3.285,0.976,3.037,0.615,1.63,0.63,6.612,1.723,2.063,0.862,0.969,3.506,0.593,2.903,1.57,0.948
705,1.048,0.703,3.734,1.123,0.84,3.898,1.133,1.745,3.331,3.585,0.869,3.091,0.553,1.771,0.608,6.768,2.006,2.316,0.844,0.935,3.343,0.755,3.398,1.591,0.908
706,1.531,0.696,3.658,1.352,0.94,3.714,1.32,1.858,3.155,4.093,0.794,3.353,0.543,2.032,0.589,6.488,2.46,2.918,0.855,0.92,3.129,1.066,4.295,1.694,0.911
707,2.282,0.72,3.286,1.755,1.021,3.264,1.568,1.877,2.69,4.809,0.781,3.846,0.59,2.417,0.577,5.954,3.075,3.837,0.859,0.918,2.875,1.572,5.526,1.811,0.975
708,3.155,0.741,2.838,2.294,1.061,2.803,1.866,1.779,2.087,5.67,0.834,4.536,0.673,2.895,0.575,5.44,3.706,4.921,0.834,0.91,2.637,2.274,6.971,1.875,1.084
709,3.905,0.741,2.541,2.857,1.055,2.558,2.184,1.58,1.627,6.473,0.926,5.249,0.765,3.36,0.584,5.146,4.152,5.871,0.776,0.877,2.469,3.091,8.34,1.853,1.194
710,4.304,0.713,2.476,3.295,1.006,2.576,2.476,1.324,1.469,6.962,1.016,5.74,0.838,3.682,0.6,5.08,4.268,6.383,0.699,0.812,2.416,3.843,9.252,1.747,1.25
711,4.228,0.664,2.566,3.471,0.921,2.727,2.672,1.069,1.565,6.919,1.064,5.778,0.877,3.769,0.617,5.064,3.983,6.258,0.624,0.725,2.44,4.312,9.376,1.59,1.22
712,3.734,0.623,2.628,3.343,0.822,2.763,2.71,0.879,1.775,6.31,1.054,5.294,0.885,3.597,0.632,4.895,3.354,5.516,0.583,0.635,2.382,4.338,8.628,1.443,1.113
713,2.988,0.628,2.589,2.952,0.76,2.623,2.558,0.804,1.903,5.285,0.998,4.396,0.879,3.214,0.641,4.531,2.561,4.385,0.628,0.565,2.273,3.895,7.199,1.383,0.977
714,2.191,0.71,2.467,2.405,0.775,2.35,2.254,0.867,1.906,4.114,0.93,3.329,0.882,2.718,0.649,4.01,1.794,3.187,0.792,0.534,2.246,3.116,5.498,1.466,0.88
715,1.527,0.865,2.342,1.85,0.87,2.084,1.861,1.042,1.804,3.059,0.888,2.346,0.913,2.209,0.669,3.45,1.185,2.186,1.059,0.557,2.401,2.212,3.932,1.687,0.877
716,1.081,1.059,2.263,1.394,1.008,1.946,1.451,1.261,1.739,2.259,0.89,1.603,0.968,1.743,0.706,2.965,0.767,1.499,1.363,0.637,2.885,1.406,2.741,1.979,0.974
717,0.802,1.248,2.223,1.056,1.125,1.95,1.07,1.441,1.782,1.726,0.933,1.149,1.034,1.341,0.756,2.644,0.516,1.109,1.604,0.765,3.423,0.811,1.962,2.247,1.134
718,0.615,1.39,2.177,0.827,1.171,2.049,0.747,1.521,1.895,1.392,1.003,0.957,1.095,1.007,0.809,2.41,0.392,0.948,1.701,0.923,3.917,0.483,1.531,2.405,1.299
719,0.492,1.46,2.055,0.697,1.131,2.105,0.511,1.484,2.013,1.208,1.084,0.979,1.149,0.756,0.855,2.168,0.371,0.964,1.622,1.089,3.961,0.391,1.389,2.406,1.425
720,0.436,1.448,1.864,0.672,1.026,2.085,0.377,1.365,1.943,1.177,1.162,1.193,1.193,0.618,0.886,1.866,0.474,1.146,1.4,1.236,3.568,0.455,1.518,2.254,1.494
721,0.468,1.363,1.703,0.763,0.901,2.068,0.35,1.228,1.676,1.319,1.227,1.594,1.228,0.599,0.897,1.564,0.759,1.46,1.113,1.342,2.785,0.61,1.907,2.009,1.511
722,0.594,1.224,1.641,0.982,0.797,2.107,0.403,1.13,1.3,1.615,1.269,2.135,1.25,0.661,0.888,1.362,1.282,1.849,0.859,1.392,1.928,0.819,2.456,1.744,1.491
723,0.805,1.058,1.709,1.313,0.732,2.254,0.514,1.099,1.053,1.987,1.277,2.708,1.254,0.734,0.866,1.335,2.018,2.229,0.7,1.384,1.347,1.043,3.002,1.512,1.452
724,1.088,0.893,1.831,1.717,0.69,2.42,0.666,1.118,1.019,2.312,1.247,3.163,1.234,0.76,0.831,1.437,2.851,2.5,0.649,1.328,1.103,1.24,3.364,1.327,1.405
725,1.428,0.75,1.917,2.126,0.647,2.521,0.833,1.145,1.212,2.474,1.191,3.368,1.189,0.724,0.791,1.53,3.616,2.57,0.671,1.245,1.243,1.368,3.425,1.183,1.359
726,1.796,0.647,1.998,2.467,0.601,2.533,0.987,1.152,1.555,2.427,1.135,3.284,1.13,0.649,0.752,1.582,4.197,2.413,0.721,1.167,1.557,1.435,3.233,1.071,1.327
727,2.141,0.602,2.16,2.674,0.586,2.534,1.094,1.15,1.885,2.23,1.111,3.019,1.079,0.571,0.722,1.67,4.577,2.115,0.778,1.12,1.915,1.512,3.018,1.006,1.323
728,2.411,0.629,2.522,2.723,0.652,2.638,1.122,1.169,2.079,2.027,1.131,2.777,1.055,0.525,0.715,1.986,4.806,1.856,0.84,1.116,2.381,1.7,3.074,1.012,1.358
729,2.55,0.72,3.007,2.625,0.828,2.808,1.067,1.218,2.149,1.97,1.18,2.735,1.065,0.519,0.737,2.627,4.912,1.799,0.911,1.144,2.722,2.065,3.575,1.082,1.429
730,2.51,0.856,3.568,2.431,1.097,3.06,0.959,1.279,2.198,2.133,1.219,2.919,1.096,0.535,0.787,3.474,4.863,1.989,0.997,1.172,3.165,2.568,4.455,1.192,1.504
731,2.264,1.026,3.935,2.2,1.408,3.18,0.93,1.325,2.759,2.514,1.211,3.229,1.122,0.597,0.848,4.378,4.604,2.347,1.106,1.167,3.363,3.064,5.443,1.306,1.544
732,1.853,1.219,4.119,2.009,1.693,3.243,1.173,1.328,4.026,3.019,1.146,3.481,1.128,0.798,0.907,5.163,4.132,2.738,1.24,1.108,3.541,3.38,6.179,1.388,1.523
733,1.397,1.431,4.164,1.933,1.898,3.307,1.826,1.278,6.618,3.554,1.051,3.536,1.117,1.244,0.957,5.706,3.538,3.029,1.389,1.009,3.537,3.411,6.406,1.421,1.445
734,1.048,1.643,4.25,2.016,2.004,3.539,2.846,1.181,9.833,3.997,0.972,3.334,1.1,1.945,1.0,5.906,2.969,3.135,1.52,0.902,3.495,3.181,6.056,1.416,1.341
735,0.897,1.848,4.537,2.221,2.028,4.031,3.995,1.067,13.271,4.25,0.955,2.918,1.092,2.765,1.043,5.794,2.543,3.067,1.598,0.826,3.405,2.808,5.269,1.405,1.253
736,0.94,2.039,5.019,2.451,2.005,4.659,4.932,0.962,15.675,4.275,1.023,2.422,1.104,3.485,1.091,5.526,2.27,2.901,1.608,0.806,3.265,2.423,4.292,1.43,1.215
737,1.096,2.2,5.503,2.592,1.958,5.185,5.353,0.879,16.358,4.083,1.16,1.983,1.13,3.89,1.141,5.178,2.116,2.719,1.547,0.836,3.073,2.122,3.37,1.511,1.235
738,1.266,2.303,5.665,2.572,1.891,5.298,5.136,0.813,14.948,3.721,1.315,1.668,1.15,3.861,1.176,4.787,2.008,2.567,1.438,0.883,2.754,1.923,2.646,1.629,1.29
739,1.365,2.321,5.333,2.374,1.799,4.883,4.379,0.757,11.962,3.28,1.43,1.48,1.141,3.439,1.178,4.309,1.898,2.463,1.31,0.911,2.323,1.796,2.156,1.737,1.351
740,1.376,2.24,4.629,2.05,1.677,4.09,3.343,0.71,8.281,2.884,1.464,1.416,1.09,2.795,1.137,3.854,1.774,2.434,1.182,0.904,1.899,1.725,1.901,1.786,1.391
741,1.347,2.064,3.873,1.712,1.525,3.245,2.373,0.685,5.094,2.635,1.414,1.498,1.002,2.136,1.059,3.503,1.674,2.512,1.066,0.869,1.691,1.79,1.893,1.754,1.396
742,1.374,1.829,3.374,1.526,1.352,2.645,1.729,0.689,3.143,2.552,1.319,1.716,0.904,1.624,0.971,3.378,1.651,2.686,0.968,0.833,1.923,2.141,2.113,1.658,1.363
743,1.525,1.577,3.241,1.601,1.17,2.42,1.487,0.713,2.569,2.555,1.228,1.995,0.826,1.311,0.9,3.483,1.719,2.877,0.884,0.822,2.551,2.825,2.446,1.534,1.302
744,1.812,1.347,3.373,1.935,0.999,2.506,1.551,0.739,2.895,2.525,1.175,2.221,0.779,1.146,0.856,3.714,1.831,2.968,0.822,0.842,3.53,3.702,2.743,1.424,1.226
745,2.14,1.175,3.565,2.385,0.874,2.706,1.737,0.748,3.449,2.423,1.158,2.343,0.756,1.07,0.83,3.902,1.923,2.882,0.806,0.873,4.45,4.549,2.936,1.359,1.151
746,2.348,1.072,3.725,2.735,0.827,2.854,1.878,0.725,3.761,2.294,1.15,2.378,0.738,1.045,0.801,3.936,1.928,2.607,0.857,0.887,5.169,5.117,2.972,1.339,1.088
747,2.326,1.022,3.81,2.847,0.875,2.882,1.873,0.67,3.695,2.254,1.115,2.413,0.708,1.066,0.757,3.73,1.849,2.226,0.969,0.857,5.41,5.32,2.881,1.337,1.043
