itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
31,1.45,0.32,1.842,1.773,0.36,2.598,3.057,0.867,4.871,0.626,0.223,0.663,0.095,1.793,0.607,10.358,12.12,0.537,1.564,2.145,0.937,1.18,0.718,0.517,0.277
32,1.197,0.275,1.446,1.563,0.322,1.94,2.809,0.862,4.089,0.479,0.233,0.574,0.096,1.571,0.635,11.117,12.22,0.594,1.53,2.124,1.14,1.199,0.644,0.501,0.297
33,1.102,0.233,1.272,1.534,0.313,1.69,2.549,0.796,3.391,0.404,0.237,0.562,0.111,1.382,0.676,11.631,12.063,0.685,1.502,2.021,1.418,1.348,0.591,0.518,0.33
34,1.151,0.2,1.284,1.694,0.346,2.124,2.199,0.708,2.953,0.428,0.236,0.631,0.14,1.233,0.713,11.611,11.559,0.808,1.475,1.846,1.683,1.589,0.575,0.572,0.371
35,1.259,0.179,1.444,1.97,0.419,3.2,1.774,0.65,2.852,0.55,0.234,0.771,0.18,1.128,0.731,11.036,10.824,0.947,1.453,1.628,1.895,1.831,0.603,0.666,0.413
36,1.376,0.17,1.833,2.282,0.513,4.742,1.36,0.654,2.972,0.787,0.235,0.999,0.223,1.066,0.719,10.026,10.044,1.063,1.442,1.412,2.01,1.993,0.67,0.787,0.452
37,1.615,0.179,2.689,2.654,0.604,6.504,1.045,0.718,3.117,1.204,0.244,1.373,0.266,1.081,0.681,8.941,9.331,1.129,1.443,1.24,2.038,2.054,0.767,0.91,0.488
38,2.201,0.208,4.273,3.186,0.67,8.26,0.835,0.808,3.197,1.845,0.261,1.929,0.303,1.187,0.63,8.146,8.738,1.132,1.434,1.147,2.078,2.047,0.88,1.005,0.521
39,3.251,0.255,6.435,3.893,0.698,9.757,0.707,0.876,3.15,2.623,0.282,2.592,0.335,1.397,0.581,7.864,8.294,1.076,1.383,1.145,2.178,2.005,0.975,1.045,0.552
40,4.653,0.314,8.839,4.661,0.687,10.857,0.668,0.885,3.181,3.332,0.305,3.191,0.361,1.691,0.545,8.024,7.981,0.989,1.274,1.217,2.534,1.952,1.023,1.02,0.581
41,6.121,0.379,10.765,5.32,0.659,11.344,0.759,0.817,3.294,3.779,0.334,3.583,0.389,2.017,0.529,8.377,7.818,0.921,1.125,1.329,3.178,1.907,1.037,0.958,0.609
42,7.291,0.453,11.564,5.692,0.647,11.134,1.003,0.687,3.778,3.859,0.376,3.701,0.427,2.291,0.532,8.548,7.799,0.926,0.972,1.443,4.155,1.883,1.084,0.934,0.639
43,7.918,0.537,10.968,5.7,0.68,10.196,1.377,0.529,4.548,3.646,0.434,3.613,0.478,2.428,0.551,8.313,7.864,1.03,0.862,1.525,5.331,1.888,1.263,1.023,0.67
44,7.961,0.625,9.368,5.369,0.765,8.767,1.793,0.395,5.662,3.344,0.504,3.444,0.537,2.373,0.578,7.669,7.914,1.219,0.829,1.554,6.583,1.928,1.635,1.255,0.698
45,7.654,0.71,7.555,4.832,0.882,7.056,2.133,0.328,6.558,3.165,0.576,3.297,0.594,2.123,0.603,6.796,7.833,1.437,0.873,1.527,7.667,1.995,2.178,1.581,0.726
46,7.346,0.779,6.622,4.251,0.988,5.673,2.298,0.347,7.27,3.219,0.637,3.196,0.638,1.755,0.615,5.949,7.589,1.624,0.964,1.467,8.434,2.033,2.775,1.888,0.754
47,7.285,0.812,7.021,3.774,1.031,4.755,2.253,0.441,7.164,3.447,0.674,3.085,0.66,1.391,0.608,5.383,7.253,1.729,1.054,1.411,8.605,1.98,3.256,2.047,0.78
48,7.457,0.797,8.685,3.494,0.985,4.684,2.043,0.59,6.728,3.659,0.68,2.867,0.653,1.141,0.584,5.299,6.947,1.734,1.099,1.381,8.205,1.812,3.476,2.0,0.798
49,7.598,0.735,10.772,3.385,0.852,5.108,1.765,0.774,5.871,3.652,0.654,2.477,0.616,1.068,0.553,5.737,6.794,1.654,1.072,1.379,7.339,1.566,3.359,1.779,0.798
50,7.378,0.643,12.3,3.333,0.668,5.705,1.525,0.965,4.964,3.326,0.601,1.947,0.555,1.159,0.533,6.587,6.851,1.518,0.983,1.383,6.214,1.317,2.95,1.483,0.773
51,6.614,0.543,12.515,3.228,0.481,5.919,1.387,1.13,4.159,2.758,0.528,1.413,0.478,1.331,0.529,7.515,7.043,1.349,0.869,1.365,5.028,1.159,2.397,1.231,0.72
52,5.335,0.458,11.168,2.965,0.337,5.504,1.361,1.239,3.56,2.086,0.448,0.99,0.397,1.476,0.538,8.201,7.198,1.158,0.781,1.305,3.925,1.133,1.871,1.106,0.647
53,3.823,0.396,8.707,2.542,0.255,4.534,1.444,1.271,3.247,1.443,0.368,0.718,0.319,1.531,0.544,8.429,7.22,0.947,0.748,1.204,3.025,1.201,1.47,1.105,0.569
54,2.458,0.36,5.865,2.036,0.227,3.309,1.653,1.224,3.457,0.933,0.297,0.577,0.25,1.5,0.53,8.229,7.06,0.729,0.762,1.079,2.341,1.308,1.205,1.157,0.51
55,1.553,0.349,3.448,1.591,0.233,2.212,2.013,1.113,4.376,0.603,0.24,0.526,0.198,1.415,0.494,7.884,6.736,0.531,0.79,0.962,1.87,1.401,1.021,1.175,0.488
56,1.186,0.355,1.913,1.306,0.256,1.481,2.501,0.971,5.977,0.454,0.199,0.533,0.162,1.325,0.445,7.769,6.316,0.378,0.797,0.886,1.513,1.461,0.854,1.113,0.507
57,1.176,0.368,1.175,1.168,0.283,1.11,3.034,0.839,7.862,0.432,0.171,0.578,0.14,1.265,0.404,8.09,5.9,0.281,0.764,0.869,1.199,1.488,0.698,0.981,0.553
58,1.267,0.385,0.919,1.098,0.301,0.948,3.481,0.751,9.403,0.463,0.152,0.629,0.128,1.245,0.389,8.787,5.657,0.233,0.699,0.916,0.949,1.478,0.574,0.816,0.601
59,1.288,0.413,0.84,1.03,0.31,0.844,3.705,0.723,9.936,0.527,0.138,0.684,0.122,1.241,0.402,9.499,5.752,0.216,0.628,1.009,0.767,1.418,0.498,0.665,0.628
60,1.225,0.473,0.838,0.949,0.318,0.786,3.604,0.738,9.412,0.652,0.129,0.755,0.126,1.222,0.436,9.832,6.232,0.213,0.581,1.124,0.675,1.31,0.474,0.561,0.624
61,1.119,0.573,0.931,0.871,0.336,0.796,3.155,0.758,7.659,0.834,0.124,0.841,0.137,1.164,0.474,9.603,7.021,0.211,0.576,1.238,0.67,1.17,0.486,0.521,0.587
62,1.033,0.698,1.18,0.835,0.364,0.94,2.448,0.746,5.566,1.035,0.124,0.916,0.155,1.068,0.501,8.949,7.878,0.203,0.622,1.341,0.767,1.029,0.501,0.541,0.528
63,0.999,0.81,1.57,0.859,0.395,1.22,1.667,0.696,3.454,1.201,0.127,0.961,0.174,0.971,0.511,8.221,8.525,0.189,0.705,1.427,0.955,0.93,0.509,0.608,0.466
64,1.005,0.866,2.047,0.92,0.415,1.599,1.011,0.627,2.136,1.284,0.128,0.966,0.189,0.916,0.505,7.742,8.788,0.181,0.795,1.489,1.211,0.895,0.523,0.703,0.417
65,1.0,0.839,2.485,0.969,0.414,1.977,0.609,0.568,1.618,1.262,0.126,0.945,0.198,0.93,0.493,7.558,8.663,0.186,0.864,1.511,1.469,0.923,0.561,0.813,0.394
66,0.943,0.736,2.783,0.968,0.386,2.249,0.47,0.544,1.841,1.143,0.122,0.911,0.199,1.01,0.484,7.519,8.334,0.205,0.899,1.478,1.705,0.974,0.609,0.926,0.4
67,0.829,0.593,2.859,0.906,0.34,2.331,0.514,0.56,2.126,0.965,0.122,0.876,0.196,1.124,0.481,7.429,7.998,0.235,0.903,1.388,1.964,1.007,0.64,1.034,0.423
68,0.725,0.467,2.744,0.827,0.288,2.207,0.636,0.6,2.536,0.784,0.13,0.847,0.194,1.224,0.489,7.201,7.736,0.274,0.89,1.263,2.147,1.024,0.636,1.12,0.444
69,0.696,0.393,2.541,0.773,0.243,2.02,0.773,0.642,2.661,0.631,0.149,0.814,0.197,1.275,0.51,6.893,7.493,0.323,0.878,1.139,2.538,1.037,0.572,1.163,0.449
70,0.753,0.377,2.342,0.756,0.213,1.754,0.904,0.677,2.993,0.509,0.174,0.761,0.205,1.262,0.548,6.733,7.186,0.378,0.876,1.049,2.784,1.066,0.463,1.156,0.429
71,0.864,0.4,2.221,0.77,0.198,1.651,1.111,0.709,3.389,0.416,0.199,0.687,0.215,1.214,0.608,6.847,6.764,0.442,0.873,1.005,3.233,1.108,0.358,1.106,0.39
72,0.968,0.435,2.156,0.817,0.197,1.587,1.495,0.748,4.543,0.363,0.22,0.629,0.224,1.168,0.686,7.305,6.321,0.516,0.852,0.995,3.351,1.166,0.32,1.03,0.346
73,1.017,0.473,2.171,0.898,0.217,1.748,2.081,0.797,5.873,0.362,0.236,0.623,0.23,1.154,0.772,7.92,6.023,0.602,0.797,0.99,3.436,1.207,0.376,0.951,0.311
74,1.014,0.519,2.298,1.008,0.267,2.021,2.769,0.843,7.72,0.428,0.249,0.677,0.231,1.18,0.844,8.551,6.049,0.694,0.712,0.972,3.258,1.207,0.511,0.894,0.302
75,0.985,0.58,2.564,1.141,0.348,2.436,3.352,0.868,9.125,0.551,0.262,0.773,0.227,1.213,0.879,9.025,6.485,0.782,0.631,0.948,2.962,1.155,0.683,0.877,0.324
76,0.964,0.651,2.998,1.28,0.446,2.854,3.607,0.851,10.03,0.704,0.272,0.879,0.217,1.216,0.864,9.351,7.262,0.858,0.593,0.944,2.598,1.076,0.841,0.903,0.368
77,0.962,0.713,3.463,1.392,0.538,3.167,3.416,0.788,10.013,0.858,0.276,0.975,0.2,1.16,0.798,9.505,8.172,0.921,0.618,0.983,2.208,1.007,0.958,0.95,0.421
78,0.966,0.744,3.824,1.436,0.6,3.248,2.849,0.693,9.102,0.99,0.269,1.059,0.181,1.055,0.697,9.468,8.981,0.971,0.697,1.062,1.888,1.007,1.041,0.989,0.465
79,0.949,0.727,3.936,1.392,0.614,3.117,2.109,0.591,7.576,1.089,0.25,1.141,0.165,0.925,0.584,9.222,9.5,0.998,0.801,1.155,1.724,1.132,1.108,1.004,0.487
80,0.896,0.665,3.761,1.264,0.582,2.845,1.418,0.505,5.585,1.153,0.225,1.22,0.155,0.81,0.483,8.848,9.639,0.982,0.894,1.225,1.671,1.392,1.167,0.998,0.485
81,0.816,0.577,3.509,1.078,0.518,2.617,0.932,0.447,3.871,1.189,0.201,1.29,0.155,0.745,0.412,8.43,9.388,0.913,0.946,1.25,1.851,1.731,1.219,0.987,0.467
82,0.732,0.488,3.335,0.872,0.444,2.523,0.693,0.412,2.261,1.205,0.187,1.337,0.163,0.734,0.377,8.045,8.826,0.803,0.947,1.225,2.039,2.048,1.26,0.985,0.444
83,0.667,0.421,3.6,0.668,0.374,2.698,0.658,0.394,1.453,1.208,0.187,1.344,0.174,0.766,0.374,7.745,8.129,0.683,0.905,1.16,2.305,2.212,1.277,0.998,0.429
